Year,Names,Publisher,Country,Sales
1992,Yoshi's Cookie,Nintendo,jp,1.12
1992,Street Fighter II: The World Warrior,Capcom,jp,6.3
1992,Street Fighter II Turbo,Capcom,jp,4.1
1992,The Magical Quest starring Mickey Mouse,Capcom,jp,1.21
1992,Sonic the Hedgehog 2,Sega,jp,6.03
1992,Street Fighter II': Special Champion Edition,Sega,jp,1.66
1992,Gunstar Heroes,Sega,jp,0.13
1992,Dragon Quest V: Tenkuu no Hanayome,Enix Corporation,jp,4.44
1992,Final Fantasy V,SquareSoft,jp,2.62
1992,Romancing SaGa,SquareSoft,jp,1.55
1992,NBA Jam,Arena Entertainment,uk,5.22
1992,F1 ROC: Race of Champions,Ocean,uk,0.28
1993,Super Mario All-Stars,Nintendo,jp,10.55
1993,Star Fox,Nintendo,jp,2.99
1993,Super Street Fighter II,Nintendo,jp,2.15
1993,Dragon Ball Z,Namco Bandai Games,jp,1.45
1993,Dragon Ball Z: La Legende Saien,Namco Bandai Games,jp,1.2
1993,Dragon Ball Z: Ultime Menace,Namco Bandai Games,jp,0.73
1993,Disney's Aladdin,Capcom,jp,1.75
1993,Mega Man X,Capcom,jp,1.16
1993,Final Fight 2,Capcom,jp,1.02
1993,Secret of Mana,SquareSoft,jp,1.83
1993,Romancing SaGa 2,SquareSoft,jp,1.17
1993,Sonic CD,Sega,jp,1.5
1993,Shining Force II,Sega,jp,0.19
1993,Ecco: The Tides of Time,Sega,jp,0.07
1993,Mortal Kombat II,Acclaim Entertainment,us,1.93
1993,Rock N' Roll Racing,Interplay,us,0.01
1993,Jurassic Park,Ocean,uk,0.36
1993,Ninja Warriors,Titus,fr,0.07
1993,Super Mahjong 2: Honkaku 4Jin Uchi,Imax,ca,0.06
1994,Donkey Kong Country,Nintendo,jp,9.3
1994,Super Metroid,Nintendo,jp,1.42
1994,EarthBound,Nintendo,jp,0.81
1994,Sonic & Knuckles,Sega,jp,1.82
1994,Sonic the Hedgehog 3,Sega,jp,1.76
1994,Virtua Fighter,Sega,jp,1.07
1994,Final Fantasy III,SquareSoft,jp,4.82
1994,Live A Live,SquareSoft,jp,0.32
1994,Battle Arena Toshinden,Sony Computer Entertainment,jp,1.27
1994,Ridge Racer,Sony Computer Entertainment,jp,0.79
1994,NHL FaceOff,Sony Computer Entertainment,jp,0.45
1994,Super Momotarou Dentetsu III,Hudson Soft,jp,0.91
1994,Super Bomberman 2,Hudson Soft,jp,0.81
1994,Super Bomberman 3,Hudson Soft,jp,0.7
1994,Mortal Kombat 3,Acclaim Entertainment,us,3.42
1994,NBA Jam Tournament Edition,Acclaim Entertainment,us,2.37
1994,Galactic Attack,Acclaim Entertainment,us,0.25
1994,Disney's The Lion King,Virgin Interactive,us,3.2
1994,Theme Park,Electronic Arts,us,0.65
1994,Primal Rage,Time Warner Interactive,us,0.11
1994,Doom,Infogrames,fr,0.78
1994,Discworld,Psygnosis,uk,0.06
1995,Namco Museum Vol.1,Sony Computer Entertainment,jp,3.84
1995,Tekken,Sony Computer Entertainment,jp,3.24
1995,Air Combat,Sony Computer Entertainment,jp,1.83
1995,Donkey Kong Country 2: Diddy's Kong Quest,Nintendo,jp,5.15
1995,Super Mario World 2: Yoshi's Island,Nintendo,jp,4.12
1995,Killer Instinct,Nintendo,jp,3.2
1995,Virtua Fighter 2,Sega,jp,1.93
1995,Sega Rally Championship,Sega,jp,1.16
1995,Virtua Cop,Sega,jp,0.62
1995,Chrono Trigger,SquareSoft,jp,2.31
1995,Romancing SaGa 3,SquareSoft,jp,1.3
1995,Seiken Densetsu 3,SquareSoft,jp,0.89
1995,Dragon Quest VI: Maboroshi no Daichi,Enix Corporation,jp,3.19
1995,Mystic Ark,Enix Corporation,jp,0.13
1995,Rayman,Ubisoft,fr,3.03
1995,Road Rash,Electronic Arts,us,1.27
1995,Road & Track Presents: The Need for Speed,Electronic Arts,us,1.0
1995,Extreme Pinball,Electronic Arts,us,0.32
1995,Gex,Crystal Dynamics,us,0.87
1995,Off-World Interceptor Extreme,Crystal Dynamics,us,0.17
1995,Slam 'n Jam '96 featuring Magic & Kareem,Crystal Dynamics,us,0.08
1995,X-Men: Children of the Atom,Acclaim Entertainment,us,0.31
1995,Bust-A-Move 2 Arcade Edition,Acclaim Entertainment,us,0.28
1995,College Slam,Acclaim Entertainment,us,0.19
1995,Final Doom,GT Interactive,us,0.27
1995,Panzer General,Mindscape,us,0.24
1995,Street Fighter Alpha: Warriors' Dreams,Virgin Interactive,uk,1.11
1995,Night Warriors: Darkstalkers' Revenge,Virgin Interactive,uk,0.34
1995,Agile Warrior F-111X,Virgin Interactive,uk,0.14
1995,Destruction Derby,Psygnosis,uk,0.9
1995,WipEout,Psygnosis,uk,0.47
1995,Krazy Ivan,Psygnosis,uk,0.08
1995,The Raiden Project,Ocean,uk,0.23
1995,Zero Divide,Ocean,uk,0.06
1996,Super Mario 64,Nintendo,jp,11.89
1996,Mario Kart 64,Nintendo,jp,9.87
1996,Donkey Kong Country 3: Dixie Kong's Double Trouble!,Nintendo,jp,3.51
1996,Crash Bandicoot,Sony Computer Entertainment,jp,6.82
1996,Tekken 2,Sony Computer Entertainment,jp,5.74
1996,Namco Museum Vol.3,Sony Computer Entertainment,jp,4.05
1996,Fighters MEGAMiX,Sega,jp,0.62
1996,Sakura Wars,Sega,jp,0.66
1996,Neon Genesis Evangelion,Sega,jp,0.5
1996,Contra: Legacy of War,Konami Digital Entertainment,jp,0.67
1996,International Track & Field,Konami Digital Entertainment,jp,0.51
1996,Jikkyou Powerful Pro Yakyuu 3,Konami Digital Entertainment,jp,0.45
1996,Derby Stallion 96,ASCII Entertainment,jp,1.05
1996,Mini-Yonku Shining Scorpion: Let's & Go!!,ASCII Entertainment,jp,0.9
