Year,Publisher,Country,Sales
1998,Virgin Interactive,Royaume-Uni,9.29
1998,Codemasters,Royaume-Uni,5.58
1998,Eidos Interactive,Royaume-Uni,4.3
1998,Ocean,Royaume-Uni,0.9
1998,PsygNorvègesis,Royaume-Uni,0.74
1998,Autres,Royaume-Uni,0.6600000000000001
1998,Infogrames,France,0.68
1998,Titus,France,0.31
1998,Ubisoft,France,0.3
1998,Telstar,Pays-Bas,0.21
1998,MTO,Canada,0.1
1998,Swing! Entertainment,Allemagne,0.05
1999,Sony Computer Entertainment,Japon,36.29
1999,Nintendo,Japon,30.05
1999,SquareSoft,Japon,13.52
1999,Konami Digital Entertainment,Japon,13.49
1999,Namco Bandai Games,Japon,4.88
1999,Autres,Japon,14.459999999999999
1999,Electronic Arts,USA,18.39
1999,Activision,USA,8.4
1999,GT Interactive,USA,6.84
1999,989 Studios,USA,5.26
1999,3DO,USA,4.14
1999,Autres,USA,27.469999999999995
1999,Eidos Interactive,Royaume-Uni,10.86
1999,LEGO Media,Royaume-Uni,1.17
1999,Codemasters,Royaume-Uni,0.61
1999,PsygNorvègesis,Royaume-Uni,0.61
1999,Virgin Interactive,Royaume-Uni,0.51
1999,Autres,Royaume-Uni,0.15000000000000002
1999,Ubisoft,France,4.56
1999,Titus,France,0.98
1999,Infogrames,France,0.6
2000,Electronic Arts,USA,23.03
2000,THQ,USA,15.86
2000,Activision,USA,12.62
2000,Take-Two Interactive,USA,6.03
2000,Acclaim Entertainment,USA,5.24
2000,Autres,USA,18.5
2000,Sony Computer Entertainment,Japon,22.28
2000,Nintendo,Japon,20.45
2000,Namco Bandai Games,Japon,9.98
2000,SquareSoft,Japon,6.04
2000,Konami Digital Entertainment,Japon,4.97
2000,Autres,Japon,14.5
2000,Eidos Interactive,Royaume-Uni,4.55
2000,Virgin Interactive,Royaume-Uni,2.41
2000,Midas Interactive Entertainment,Royaume-Uni,1.23
2000,Empire Interactive,Royaume-Uni,1.14
2000,Codemasters,Royaume-Uni,1.02
2000,Autres,Royaume-Uni,0.12
2000,Ubisoft,France,4.13
2000,Infogrames,France,1.66
2000,Titus,France,0.08
2000,Swing! Entertainment,Allemagne,0.18
2001,Sony Computer Entertainment,Japon,42.95
2001,Nintendo,Japon,16.78
2001,Konami Digital Entertainment,Japon,16.56
2001,Capcom,Japon,7.52
2001,Namco Bandai Games,Japon,5.02
2001,Autres,Japon,10.810000000000002
2001,Electronic Arts,USA,39.72
2001,Take-Two Interactive,USA,20.41
2001,Activision,USA,15.15
2001,THQ,USA,15.01
2001,Microsoft Game Studios,USA,13.41
2001,Autres,USA,41.92000000000001
2001,Virgin Interactive,Royaume-Uni,4.89
2001,Sony Computer Entertainment Europe,Royaume-Uni,3.17
2001,Eidos Interactive,Royaume-Uni,2.18
2001,Codemasters,Royaume-Uni,1.59
2001,Empire Interactive,Royaume-Uni,1.0
2001,Autres,Royaume-Uni,0.7200000000000001
2001,Ubisoft,France,2.88
2001,Infogrames,France,1.53
2001,Titus,France,1.12
2001,Wanadoo,France,0.2
2001,Magix,Allemagne,0.31
2001,Swing! Entertainment,Allemagne,0.08
2001,DreamCatcher Interactive,Canada,0.05
2002,Electronic Arts,USA,59.43
2002,THQ,USA,21.06
2002,Activision,USA,20.94
2002,Take-Two Interactive,USA,20.4
2002,Atari,USA,18.73
2002,Autres,USA,41.209999999999994
2002,Sony Computer Entertainment,Japon,27.6
2002,Nintendo,Japon,21.03
2002,Namco Bandai Games,Japon,12.42
2002,Sega,Japon,9.43
2002,Capcom,Japon,8.12
2002,Autres,Japon,14.579999999999995
2002,Ubisoft,France,16.37
2002,Infogrames,France,5.04
2002,Wanadoo,France,0.46
2002,Titus,France,0.14
2002,NDA Productions,France,0.12
2002,Autres,France,0.13
2002,Eidos Interactive,Royaume-Uni,8.2
2002,Codemasters,Royaume-Uni,1.8
2002,Empire Interactive,Royaume-Uni,1.38
2002,Rage Software,Royaume-Uni,1.28
2002,Jester Interactive,Royaume-Uni,0.71
2002,Autres,Royaume-Uni,1.1400000000000001
2002,Play It,Belgique,1.15
2002,505 Games,Italie,0.29
2002,Pacific Century CyBelgiquer Works,Hong Kong,0.26
2002,Swing! Entertainment,Allemagne,0.14
2002,Phantagram,Corée du Sud,0.05
2003,Electronic Arts,USA,59.55
2003,Activision,USA,18.49
2003,THQ,USA,17.38
2003,Vivendi Games,USA,13.07
2003,Atari,USA,12.16
2003,Autres,USA,39.22000000000001
2003,Sony Computer Entertainment,Japon,24.72
2003,Nintendo,Japon,22.77
2003,Sega,Japon,12.35
2003,Namco Bandai Games,Japon,9.91
2003,Konami Digital Entertainment,Japon,9.3
2003,Autres,Japon,18.690000000000005
2003,Ubisoft,France,13.25
2003,Microids,France,0.1
2003,LSP Games,France,0.05
2003,Titus,France,0.02
2003,Wanadoo,France,0.02
2003,Eidos Interactive,Royaume-Uni,3.6
2003,Empire Interactive,Royaume-Uni,2.41
2003,Codemasters,Royaume-Uni,2.23
2003,Zoo Digital Publishing,Royaume-Uni,1.82
2003,SCi,Royaume-Uni,1.48
2003,Autres,Royaume-Uni,0.44999999999999996
2003,Play It,Belgique,0.42
2003,505 Games,Italie,0.1
2003,DreamCatcher Interactive,Canada,0.09
2004,Electronic Arts,USA,63.8
2004,Activision,USA,27.29
2004,Take-Two Interactive,USA,25.58
2004,THQ,USA,16.4
2004,Microsoft Game Studios,USA,14.1
2004,Autres,USA,34.390000000000015
2004,Sony Computer Entertainment,Japon,32.45
2004,Konami Digital Entertainment,Japon,17.02
2004,Sega,Japon,11.66
2004,Nintendo,Japon,10.9
2004,Square Enix,Japon,6.29
2004,Autres,Japon,15.459999999999996
2004,Ubisoft,France,11.47
2004,Microids,France,0.13
2004,Global Star,Canada,5.32
2004,Play It,Belgique,3.37
2004,Eidos Interactive,Royaume-Uni,3.0
2004,Empire Interactive,Royaume-Uni,1.93
2004,Zoo Digital Publishing,Royaume-Uni,1.72
2004,Sony Computer Entertainment Europe,Royaume-Uni,1.71
2004,Codemasters,Royaume-Uni,0.84
2004,Autres,Royaume-Uni,1.35
2004,Illusion Softworks,République Tchèque,0.93
2004,505 Games,Italie,0.81
2004,Deep Silver,Allemagne,0.32
2005,Electronic Arts,USA,57.8
2005,Activision,USA,25.75
2005,THQ,USA,12.73
2005,Take-Two Interactive,USA,11.34
2005,LucasArts,USA,11.26
2005,Autres,USA,28.39999999999999
2005,Sony Computer Entertainment,Japon,17.78
2005,Namco Bandai Games,Japon,12.89
2005,Capcom,Japon,11.48
2005,Konami Digital Entertainment,Japon,10.17
2005,Nintendo,Japon,8.98
2005,Autres,Japon,17.659999999999997
2005,Ubisoft,France,12.57
2005,Microids,France,0.07
2005,Wanadoo,France,0.02
2005,Eidos Interactive,Royaume-Uni,6.82
2005,Zoo Digital Publishing,Royaume-Uni,0.83
2005,Codemasters,Royaume-Uni,0.5
2005,Oxygen Interactive,Royaume-Uni,0.43
2005,Jester Interactive,Royaume-Uni,0.4
2005,Autres,Royaume-Uni,1.07
2005,Global Star,Canada,1.73
2005,Hip Interactive,Canada,0.17
2005,Groove Games,Canada,0.06
2005,DreamCatcher Interactive,Canada,0.02
2005,505 Games,Italie,0.48
2005,Black Belgiquean Games,Italie,0.01
2005,Play It,Belgique,0.2
2005,Deep Silver,Allemagne,0.17
2005,Playlogic Game Factory,Pays-Bas,0.12
2005,JoWood Productions,Autriche,0.04
2006,Nintendo,Japon,126.56
2006,Sony Computer Entertainment,Japon,20.18
2006,Konami Digital Entertainment,Japon,9.08
2006,Square Enix,Japon,8.87
2006,Capcom,Japon,7.61
2006,Autres,Japon,22.37
2006,Electronic Arts,USA,43.88
2006,Activision,USA,16.81
2006,Take-Two Interactive,USA,16.56
2006,THQ,USA,14.01
2006,Microsoft Game Studios,USA,9.52
2006,Autres,USA,23.620000000000005
2006,Ubisoft,France,11.85
2006,Kando Games,France,0.03
2006,Eidos Interactive,Royaume-Uni,3.41
2006,Oxygen Interactive,Royaume-Uni,1.73
2006,Xplosiv,Royaume-Uni,0.28
2006,Rising Star Games,Royaume-Uni,0.27
2006,Empire Interactive,Royaume-Uni,0.26
2006,Autres,Royaume-Uni,0.26
2006,505 Games,Italie,0.7
2006,Global Star,Canada,0.09
2006,DreamCatcher Interactive,Canada,0.04
2006,Groove Games,Canada,0.03
2006,Game Factory,Danemark,0.08
2006,Yamasa Entertainment,Vietnam,0.02
2006,10TACLE Studios,Allemagne,0.02
2007,Nintendo,Japon,63.31
2007,Sony Computer Entertainment,Japon,29.94
2007,Sega,Japon,16.71
2007,Konami Digital Entertainment,Japon,14.03
2007,Tecmo Koei,Japon,5.52
2007,Autres,Japon,16.930000000000007
2007,Electronic Arts,USA,54.57
2007,Activision,USA,46.76
2007,Microsoft Game Studios,USA,25.79
2007,Take-Two Interactive,USA,18.91
2007,THQ,USA,18.8
2007,Autres,USA,42.839999999999996
2007,Ubisoft,France,24.43
2007,Neko Entertainment,France,0.03
2007,Norvègebilis,France,0.01
2007,Eidos Interactive,Royaume-Uni,4.8
2007,Codemasters,Royaume-Uni,2.95
2007,Rising Star Games,Royaume-Uni,2.06
2007,Zoo Digital Publishing,Royaume-Uni,0.73
2007,Empire Interactive,Royaume-Uni,0.39
2007,Autres,Royaume-Uni,0.8200000000000001
2007,505 Games,Italie,4.09
2007,Black Belgiquean Games,Italie,0.07
2007,RTL,Luxembourg,1.26
2007,Game Factory,Danemark,0.16
2007,Norvègerdcurrent,Lituanie,0.05
2008,Electronic Arts,USA,72.61
2008,Activision,USA,56.27
2008,Take-Two Interactive,USA,38.58
2008,THQ,USA,19.93
2008,Microsoft Game Studios,USA,15.04
2008,Autres,USA,74.07
2008,Nintendo,Japon,61.35
2008,Sega,Japon,24.68
2008,Konami Digital Entertainment,Japon,22.69
2008,Sony Computer Entertainment,Japon,20.66
2008,Namco Bandai Games,Japon,7.39
2008,Autres,Japon,18.349999999999998
2008,Ubisoft,France,33.92
2008,Avanquest,France,0.04
2008,Neko Entertainment,France,0.02
2008,Eidos Interactive,Royaume-Uni,4.55
2008,Codemasters,Royaume-Uni,3.04
