Name,Platform,Year,Publisher,Global_Sales,Total_Sales,Country
Slam Dunk: Yonkyo Taiketsu!!,SNES,1994,Namco Bandai Games,0.27,0.27,jp
Thoroughbred Breeder II,SNES,1994,Hect,0.27,0.27,jp
Virtua Racing,GEN,1994,Sega,0.26,0.26,jp
Galactic Attack,SAT,1994,Acclaim Entertainment,0.25,0.25,us
A. IV Evolution: A Ressha de Ikou 4,PS,1994,ArtDink,0.25,0.25,jp
Samurai Shodown II,NG,1994,SNK,0.25,0.25,jp
The King of Fighters '95 (CD),NG,1994,SNK,0.23,0.23,jp
Drift King Shutokou Battle '94,SNES,1994,BPS,0.2,0.2,jp
Samurai Spirits (CD),NG,1994,SNK,0.2,0.2,jp
Wing Arms,SAT,1994,Sega,0.2,0.2,jp
ThunderStrike 2,PS,1994,Core Design Ltd.,0.19,0.19,jp
SD Gundam GX,SNES,1994,Namco Bandai Games,0.19,0.19,jp
Gokujou Parodius,SNES,1994,Konami Digital Entertainment,0.18,0.18,jp
F1 Challenge,SAT,1994,Sega,0.18,0.18,jp
Saturday Night Slam Masters,SNES,1994,Capcom,0.16,0.16,jp
"Lunar 2: Eternal Blue(sales, but wrong system)",GEN,1994,Game Arts,0.14,0.14,jp
Shining Force CD,SCD,1994,Sega,0.14,0.14,jp
The King of Fighters '94,NG,1994,SNK,0.12,0.12,jp
Slayers,SNES,1994,Banpresto,0.12,0.12,jp
Battle Arena Toshinden Remix,SAT,1994,Sega,0.12,0.12,jp
Bishoujo Senshi Sailormoon S: Juugai Rantou!? Shuyaku Soudatsusen,SNES,1994,Angel Studios,0.12,0.12,jp
Center Ring Boxing,SAT,1994,JVC,0.12,0.12,jp
Primal Rage,PS,1994,Time Warner Interactive,0.11,0.11,us
Jikkyou Powerful Pro Yakyuu '95,PS,1994,Konami Digital Entertainment,0.11,0.11,jp
Final Fantasy I & II,NES,1994,Square,0.11,0.11,jp
Jupiter Strike,PS,1994,Acclaim Entertainment,0.11,0.11,us
Crime Crackers,PS,1994,Sony Computer Entertainment,0.1,0.1,jp
Clockwork Knight,SAT,1994,Sega,0.09,0.09,jp
King's Field (Japan),PS,1994,From Software,0.08,0.08,jp
