,Name,Platform,Year,Publisher,Global_Sales,Total_Sales
276,Teenage Mutant Ninja Turtles,NES,1989,Palcom,4.17,5.74
1089,Disney's DuckTales,NES,1989,Capcom,1.67,1.67
1859,Famicom Jump: Eiyuu Retsuden,NES,1989,Namco Bandai Games,1.1,1.1
2439,Castlevania III: Dracula's Curse,NES,1989,Konami Digital Entertainment,0.85,0.85
4147,Double Dragon,2600,1989,Activision,0.47,0.47
8757,Klax,2600,1989,Atari,0.15,0.15
12636,Adventures of Lolo,NES,1989,HAL Laboratory,0.06,0.06
