,Name,Platform,Year,Publisher,Global_Sales,Total_Sales
22,Super Mario Bros. 3,NES,1988,Nintendo,17.28,17.28
96,Super Mario Bros. 2,NES,1988,Nintendo,7.46,7.46
155,Tetris,NES,1988,Nintendo,5.58,5.58
312,Dragon Warrior III,NES,1988,Enix Corporation,3.87,3.87
638,Ice Hockey,NES,1988,Nintendo,2.42,2.91
764,R.C. Pro-Am,NES,1988,Nintendo,2.14,2.14
1187,Donkey Kong Classics,NES,1988,Nintendo,1.56,1.56
1246,Mega Man 2,NES,1988,Capcom,1.51,1.51
1587,Dragon Ball: Daimaou Fukkatsu,NES,1988,Namco Bandai Games,1.25,1.25
1708,Pro Yakyuu Family Stadium '88,NES,1988,Namco Bandai Games,1.18,1.18
3940,River Raid II,2600,1988,Activision,0.51,0.51
6939,Rampage,2600,1988,Activision,0.24,0.24
