Name,Platform,Year,Publisher,Global_Sales,Total_Sales,Country
Grand Theft Auto: Vice City,PS2,2002,Take-Two Interactive,16.15,16.15,us
Medal of Honor: Frontline,MULTI,2002,Electronic Arts,6.83,8.91,us
Kingdom Hearts,MULTI,2002,Sony Computer Entertainment,6.4,8.15,jp
Super Mario Sunshine,GC,2002,Nintendo,6.31,6.31,jp
The Lord of the Rings: The Two Towers,MULTI,2002,Electronic Arts,4.67,5.91,us
The Legend of Zelda: The Wind Waker,MULTI,2002,Nintendo,4.6,6.369999999999999,jp
Spider-Man: The Movie,MULTI,2002,Activision,4.48,7.07,us
Madden NFL 2003,MULTI,2002,Electronic Arts,4.14,5.279999999999999,us
Tony Hawk's Pro Skater 4,MULTI,2002,Activision,3.67,5.18,us
SOCOM: U.S. Navy SEALs,PS2,2002,Sony Computer Entertainment,3.65,3.65,jp
The Getaway,PS2,2002,Sony Computer Entertainment,3.54,3.54,jp
Tekken 4,PS2,2002,Namco Bandai Games,3.44,3.44,jp
FIFA Soccer 2003,MULTI,2002,Electronic Arts,3.4,4.11,us
James Bond 007: Nightfire,MULTI,2002,Electronic Arts,3.33,4.93,us
Ratchet & Clank,PS2,2002,Sony Computer Entertainment,3.33,3.33,jp
Dragon Ball Z: Budokai,MULTI,2002,Atari,3.09,3.78,us
Tom Clancy's Splinter Cell,MULTI,2002,Ubisoft,3.02,5.9,fr
WWE SmackDown! Shut Your Mouth,PS2,2002,THQ,3.02,3.02,us
World Soccer Winning Eleven 6 International,PS2,2002,Konami Digital Entertainment,2.99,2.99,jp
Hitman 2: Silent Assassin,MULTI,2002,Eidos Interactive,2.96,4.28,gb
The Elder Scrolls III: Morrowind,XB,2002,Ubisoft,2.86,2.86,fr
WWE SmackDown! vs. Raw,PS2,2002,THQ,2.83,2.83,us
Metroid Prime,GC,2002,Nintendo,2.82,2.82,jp
Harry Potter and the Chamber of Secrets,MULTI,2002,Electronic Arts,2.61,5.64,us
Mortal Kombat: Deadly Alliance,MULTI,2002,Midway Games,2.49,3.8600000000000003,us
Mario Party 4,GC,2002,Nintendo,2.47,2.47,jp
Onimusha 2: Samurai's Destiny,PS2,2002,Capcom,2.25,2.25,jp
ATV Offroad Fury 2,PS2,2002,THQ,2.18,2.18,us
Need for Speed: Hot Pursuit 2,MULTI,2002,Electronic Arts,2.11,3.73,us
Scooby-Doo! Night of 100 Frights,MULTI,2002,THQ,2.1,2.54,us
Project Gotham Racing (JP weekly sales),XB,2002,Microsoft Game Studios,2.1,2.1,us
Tetris Worlds,MULTI,2002,THQ,2.08,2.3000000000000003,us
Spec Ops: Airborne Commando,PS,2002,Take-Two Interactive,2.07,2.07,us
Sonic Mega Collection,GC,2002,Infogrames,2.05,2.05,fr
Spyro: Enter the Dragonfly,MULTI,2002,Universal Interactive,1.97,2.6799999999999997,us
Tom Clancy's Ghost Recon,MULTI,2002,Ubisoft,1.94,3.9899999999999998,fr
Star Fox Adventures,GC,2002,Nintendo,1.87,1.87,jp
Virtua Fighter 4,PS2,2002,Sega,1.81,1.81,jp
State of Emergency,MULTI,2002,Take-Two Interactive,1.76,1.93,us
Xenosaga Episode I: Der Wille zur Macht,PS2,2002,Namco Bandai Games,1.74,1.74,jp
NBA Live 2003,MULTI,2002,Electronic Arts,1.66,2.32,us
Tiger Woods PGA Tour 2003,MULTI,2002,Electronic Arts,1.64,2.31,us
Conflict: Desert Storm,MULTI,2002,Gotham Games,1.57,2.52,us
Stuntman,PS2,2002,Atari,1.55,1.55,us
The Simpsons Skateboarding,PS2,2002,Electronic Arts,1.52,1.52,us
Super Monkey Ball 2,GC,2002,Atari,1.52,1.52,us
Pac-Man World 2,MULTI,2002,Namco Bandai Games,1.51,2.37,jp
Red Faction II,MULTI,2002,THQ,1.5,1.65,us
NCAA Football 2003,MULTI,2002,Electronic Arts,1.44,2.17,us
Cabela's Big Game Hunter,PS2,2002,Activision,1.42,1.42,us
Resident Evil (Remake),GC,2002,Capcom,1.42,1.42,jp
Colin McRae Rally 3,MULTI,2002,Codemasters,1.4,1.44,gb
Dead to Rights,MULTI,2002,Electronic Arts,1.36,2.22,us
Test Drive,MULTI,2002,Atari,1.34,1.76,us
NFL 2K3,MULTI,2002,Atari,1.32,2.06,us
IHRA Drag Racing 2,PS2,2002,Bethesda Softworks,1.31,1.31,us
Turok: Evolution,MULTI,2002,Acclaim Entertainment,1.31,2.24,us
Resident Evil Zero,MULTI,2002,Capcom,1.29,1.72,jp
.hack//Infection Part 1,PS2,2002,Atari,1.27,1.27,us
NBA 2K2,MULTI,2002,Sega,1.22,1.54,jp
Sly Cooper and the Thievius Raccoonus,PS2,2002,Sony Computer Entertainment,1.21,1.21,jp
The Lord of the Rings: The Fellowship of the Ring,MULTI,2002,Black Label Games,1.2,1.73,us
Ty the Tasmanian Tiger,MULTI,2002,Electronic Arts,1.17,1.6199999999999999,us
MechAssault,XB,2002,Microsoft Game Studios,1.13,1.13,us
Star Wars: Bounty Hunter,MULTI,2002,LucasArts,1.09,1.35,us
SpongeBob SquarePants: Revenge of the Flying Dutchman,MULTI,2002,THQ,1.08,1.28,us
Fisherman's Bass Club,PS2,2002,Agetec,1.08,1.08,us
Freekstyle,MULTI,2002,Electronic Arts,1.06,1.1500000000000001,us
Seek and Destroy,PS2,2002,Play It,1.06,1.06,be
NBA 2K3,MULTI,2002,Sega,1.05,1.53,jp
Dynasty Warriors 3: Xtreme Legends,PS2,2002,Tecmo Koei,1.0,1.0,jp
Dark Cloud 2,PS2,2002,Sony Computer Entertainment,0.96,0.96,jp
Shinobi,PS2,2002,Sony Computer Entertainment,0.96,0.96,jp
NHL 2003,MULTI,2002,Electronic Arts,0.93,1.27,us
Street Hoops,MULTI,2002,Activision,0.91,1.31,us
Knockout Kings 2002,MULTI,2002,Electronic Arts,0.91,1.1800000000000002,us
Tiger Woods PGA Tour 2002,PS2,2002,Electronic Arts,0.9,0.9,us
Triple Play 2002,MULTI,2002,Electronic Arts,0.87,1.12,us
Rocky,MULTI,2002,Rage Software,0.86,1.1,gb
Burnout 2: Point of Impact,MULTI,2002,Acclaim Entertainment,0.85,1.24,us
Big Mutha Truckers,MULTI,2002,Empire Interactive,0.84,1.1099999999999999,gb
Rocket Power: Beach Bandits,MULTI,2002,THQ,0.82,1.05,us
Tales of Destiny 2,PS2,2002,Namco Bandai Games,0.8,0.8,jp
All-Star Baseball 2003,MULTI,2002,Acclaim Entertainment,0.77,1.18,us
Unlimited Saga,PS2,2002,Atari,0.77,0.77,us
Taiko no Tatsujin: Tatakon de Dodon ga Don,PS2,2002,Namco Bandai Games,0.76,0.76,jp
Marvel vs. Capcom 2: New Age of Heroes,MULTI,2002,Capcom,0.76,1.04,jp
Unreal Championship,XB,2002,Atari,0.74,0.74,us
Super Trucks Racing,PS2,2002,Jester Interactive,0.71,0.71,gb
Godzilla: Destroy All Monsters Melee,MULTI,2002,Atari,0.71,0.83,us
Yu-Gi-Oh! The Falsebound Kingdom,GC,2002,Konami Digital Entertainment,0.71,0.71,jp
TimeSplitters 2,MULTI,2002,Eidos Interactive,0.7,1.78,gb
.hack//Mutation Part 2,PS2,2002,Atari,0.68,0.68,us
Armored Core 3,PS2,2002,Metro 3D,0.67,0.67,us
NCAA March Madness 2003,PS2,2002,Electronic Arts,0.66,0.66,us
Monster Jam: Maximum Destruction,MULTI,2002,Ubisoft,0.65,0.7000000000000001,fr
Super Robot Taisen Impact,PS2,2002,Banpresto,0.65,0.65,jp
Ape Escape 2,PS2,2002,Sony Computer Entertainment,0.63,0.63,jp
Wild ARMs 3,PS2,2002,Ubisoft,0.62,0.62,fr
NFL Fever 2003,XB,2002,Microsoft Game Studios,0.61,0.61,us
Robotech: Battlecry,MULTI,2002,TDK Mediactive,0.61,0.98,us
From TV Animation One Piece: Grand Battle 2,PS,2002,Namco Bandai Games,0.6,0.6,jp
2002 FIFA World Cup,MULTI,2002,Electronic Arts,0.59,0.83,us
Contra: Shattered Soldier,PS2,2002,Konami Digital Entertainment,0.58,0.58,jp
Jampack Summer 2002,PS2,2002,Sony Computer Entertainment,0.57,0.57,jp
Wreckless: ThE YaKuza MisSiOns,MULTI,2002,Activision,0.57,0.85,us
SD Gundam G Generation Neo,PS2,2002,Namco Bandai Games,0.57,0.57,jp
RalliSport Challenge,XB,2002,Microsoft Game Studios,0.57,0.57,us
Blinx: The Time Sweeper,XB,2002,Microsoft Game Studios,0.56,0.56,us
WWF Raw,XB,2002,THQ,0.55,0.55,us
Soccer Tsuku 2002: J-League Pro Soccer Club o Tsukurou!,PS2,2002,Sega,0.55,0.55,jp
Dragon Quest Characters: Torneko no Daibouken 3: Fushigi no Dungeon,PS2,2002,Enix Corporation,0.54,0.54,jp
Jampack Winter 2002,PS2,2002,Sony Computer Entertainment,0.52,0.52,jp
Way of the Samurai,PS2,2002,Eidos Interactive,0.51,0.51,gb
HSX HyperSonic.Xtreme,PS2,2002,Midas Interactive Entertainment,0.51,0.51,gb
Monopoly Party,MULTI,2002,Infogrames,0.51,0.8200000000000001,fr
Activision Anthology,PS2,2002,Activision,0.5,0.5,us
Star Wars: Jedi Starfighter,MULTI,2002,Activision,0.5,0.94,us
Star Wars: Clone Wars,MULTI,2002,LucasArts,0.5,1.03,us
Men in Black II: Alien Escape,MULTI,2002,Infogrames,0.5,0.51,fr
WWE Wrestlemania X8,GC,2002,THQ,0.49,0.49,us
World of Outlaws: Sprint Cars 2002,PS2,2002,Ignition Entertainment,0.48,0.48,us
X-Men: Next Dimension,MULTI,2002,Activision,0.47,0.71,us
Hot Wheels Velocity X,MULTI,2002,THQ,0.47,0.58,us
Mat Hoffman's Pro BMX 2,MULTI,2002,Activision,0.46,0.7000000000000001,us
Rygar: The Legendary Adventure,PS2,2002,Wanadoo,0.46,0.46,fr
The Mark of Kri,PS2,2002,Sony Computer Entertainment,0.46,0.46,jp
Momotarou Dentetsu 11,MULTI,2002,Hudson Soft,0.46,0.54,jp
.hack//Outbreak Part 3,PS2,2002,Atari,0.46,0.46,us
Phantasy Star Online Episode I & II,MULTI,2002,Infogrames,0.45,0.6,fr
The Powerpuff Girls: Relish Rampage,MULTI,2002,BAM! Entertainment,0.45,0.52,us
The Thing,MULTI,2002,Vivendi Games,0.44,0.64,us
Jikkyou Powerful Pro Yakyuu 9,MULTI,2002,Konami Digital Entertainment,0.44,0.56,jp
Eternal Darkness: Sanity's Requiem,GC,2002,Nintendo,0.44,0.44,jp
NFL Blitz 20-03,MULTI,2002,Midway Games,0.44,0.72,us
Superman: Shadow of Apokolips,MULTI,2002,Atari,0.42,0.5,us
BloodRayne,MULTI,2002,Universal Interactive,0.42,0.74,us
Jimmy Neutron: Boy Genius,MULTI,2002,THQ,0.41,0.5,us
Boku no Natsuyasumi 2: Umi no Bouken Hen,PS2,2002,Sony Computer Entertainment,0.41,0.41,jp
The Terminator: Dawn of Fate,MULTI,2002,Atari,0.41,0.5599999999999999,us
Minority Report: Everybody Runs,MULTI,2002,Activision,0.41,0.61,us
Mobile Suit Gundam: Lost War Chronicles,PS2,2002,Namco Bandai Games,0.39,0.39,jp
The House of The Dead III,XB,2002,Sega,0.39,0.39,jp
Blood Omen 2,MULTI,2002,Eidos Interactive,0.39,0.63,gb
Auto Modellista,MULTI,2002,Capcom,0.39,0.42000000000000004,jp
Mobile Suit Gundam: Giren no Yabou Zeon Dokuritsu Sensouden,PS2,2002,Namco Bandai Games,0.38,0.38,jp
Headhunter,PS2,2002,Sega,0.38,0.38,jp
Grandia Xtreme,PS2,2002,Enix Corporation,0.38,0.38,jp
Hunter: The Reckoning,MULTI,2002,Interplay,0.38,0.48,us
NBA Inside Drive 2002,XB,2002,Microsoft Game Studios,0.37,0.37,us
"Monsters, Inc. Scream Arena",GC,2002,THQ,0.37,0.37,us
High Heat Major League Baseball 2003,PS2,2002,3DO,0.37,0.37,us
