Name,Platform,Year,Publisher,Global_Sales,Total_Sales,Country
Call of Duty: Modern Warfare 3,MULTI,2011,Activision,14.76,29.11,us
Just Dance 3,MULTI,2011,Ubisoft,10.26,12.92,fr
The Elder Scrolls V: Skyrim,MULTI,2011,Bethesda Softworks,8.84,15.399999999999999,us
Battlefield 3,MULTI,2011,Electronic Arts,7.34,14.57,us
Uncharted 3: Drake's Deception,PS3,2011,Sony Computer Entertainment,6.83,6.83,jp
FIFA 12,MULTI,2011,Electronic Arts,6.69,11.760000000000002,us
Gears of War 3,X360,2011,Microsoft Game Studios,6.24,6.24,us
Batman: Arkham City,MULTI,2011,Warner Bros. Interactive Entertainment,5.53,10.67,us
Forza Motorsport 4,X360,2011,Microsoft Game Studios,4.64,4.64,us
Assassin's Creed: Revelations,MULTI,2011,Ubisoft,4.24,8.43,fr
The Legend of Zelda: Skyward Sword,Wii,2011,Nintendo,4.1,4.1,jp
Mario & Sonic at the London 2012 Olympic Games,Wii,2011,Sega,3.78,3.78,jp
LittleBigPlanet 2,PS3,2011,Sony Computer Entertainment,3.42,3.42,jp
L.A. Noire,MULTI,2011,Take-Two Interactive,3.23,5.95,us
Zumba Fitness 2,Wii,2011,Majesco Entertainment,2.88,2.88,us
Mortal Kombat,MULTI,2011,Warner Bros. Interactive Entertainment,2.85,7.63,us
Skylanders: Spyro's Adventure,MULTI,2011,Activision,2.85,4.77,us
Killzone 3,PS3,2011,Sony Computer Entertainment,2.79,2.79,jp
Saints Row: The Third,MULTI,2011,THQ,2.77,5.26,us
Madden NFL 12,MULTI,2011,Electronic Arts,2.69,5.4,us
Final Fantasy XIII-2,MULTI,2011,Square Enix,2.68,3.42,jp
NBA 2K12,MULTI,2011,Take-Two Interactive,2.62,5.09,us
Halo: Combat Evolved Anniversary,X360,2011,Microsoft Game Studios,2.44,2.44,us
Dead Island,MULTI,2011,Deep Silver,2.39,4.68,de
Kinect: Disneyland Adventures,X360,2011,Microsoft Game Studios,2.38,2.38,us
Kinect Sports: Season Two,X360,2011,Microsoft Game Studios,2.36,2.36,us
Pro Evolution Soccer 2012,MULTI,2011,Konami Digital Entertainment,2.19,2.96,jp
Portal 2,MULTI,2011,Valve Software,2.1,3.84,us
Dark Souls,MULTI,2011,Namco Bandai Games,2.07,3.07,jp
Dance Central 2,X360,2011,Microsoft Game Studios,2.04,2.04,us
Need for Speed: The Run,MULTI,2011,Electronic Arts,2.04,3.71,us
LEGO Star Wars III: The Clone Wars,MULTI,2011,LucasArts,1.91,4.62,us
inFAMOUS 2,PS3,2011,Sony Computer Entertainment,1.85,1.85,jp
Kirby's Return to Dreamland,Wii,2011,Nintendo,1.7,1.7,jp
Go Vacation,Wii,2011,Namco Bandai Games,1.65,1.65,jp
LEGO Pirates of the Caribbean: The Video Game,MULTI,2011,Disney Interactive Studios,1.64,3.7,us
Sonic Generations,MULTI,2011,Sega,1.63,3.05,jp
Rage,MULTI,2011,Bethesda Softworks,1.62,2.95,us
Ni no Kuni: Wrath of the White Witch,PS3,2011,Namco Bandai Games,1.55,1.55,jp
Dead Space 2,MULTI,2011,Electronic Arts,1.52,2.96,us
Resistance 3,PS3,2011,Sony Computer Entertainment,1.5,1.5,jp
Homefront,MULTI,2011,THQ,1.46,2.37,us
Deus Ex: Human Revolution,MULTI,2011,Square Enix,1.39,2.9,jp
Marvel vs. Capcom 3: Fate of Two Worlds,MULTI,2011,Capcom,1.35,2.43,jp
Crysis 2,MULTI,2011,Electronic Arts,1.35,2.6500000000000004,us
The ICO & Shadow of the Colossus Collection,PS3,2011,Sony Computer Entertainment,1.35,1.35,jp
WWE '12,MULTI,2011,THQ,1.27,2.81,us
Tales of Xillia,PS3,2011,Namco Bandai Games,1.24,1.24,jp
F1 2011,MULTI,2011,Codemasters,1.22,1.95,gb
Your Shape: Fitness Evolved 2012,X360,2011,Ubisoft,1.17,1.17,fr
Rocksmith,MULTI,2011,Ubisoft,1.16,2.2800000000000002,fr
Omerta: City of Gangsters,MULTI,2011,Konami Digital Entertainment,1.15,1.8599999999999999,jp
Ratchet & Clank: All 4 One,PS3,2011,Sony Computer Entertainment,1.15,1.15,jp
Fight Night Champion,MULTI,2011,Electronic Arts,1.15,1.95,us
Dragon Age II,MULTI,2011,Electronic Arts,1.12,1.96,us
DiRT 3,MULTI,2011,Codemasters,1.08,1.81,gb
Disney Universe,MULTI,2011,Disney Interactive Studios,1.07,2.27,us
Brink,MULTI,2011,Bethesda Softworks,1.04,1.78,us
Rayman Origins,MULTI,2011,Ubisoft,1.03,2.4,fr
Bulletstorm,MULTI,2011,Electronic Arts,1.02,1.55,us
NCAA Football 12,MULTI,2011,Electronic Arts,0.99,1.8199999999999998,us
Driver: San Francisco,MULTI,2011,Ubisoft,0.98,1.88,fr
Cars 2,MULTI,2011,Disney Interactive Studios,0.95,1.99,us
Wii Play: Motion,Wii,2011,Nintendo,0.95,0.95,jp
The Tomb Raider Trilogy,PS3,2011,Square Enix,0.94,0.94,jp
Wipeout: In The Zone,X360,2011,Activision,0.92,0.92,us
Dynasty Warriors 7,MULTI,2011,Tecmo Koei,0.92,1.1600000000000001,jp
SOCOM 4: U.S. Navy SEALs,PS3,2011,Sony Computer Entertainment,0.9,0.9,jp
Tiger Woods PGA Tour 12: The Masters,MULTI,2011,Electronic Arts,0.9,1.9,us
Duke Nukem Forever,MULTI,2011,Take-Two Interactive,0.84,1.6099999999999999,us
ABBA: You Can Dance,Wii,2011,Ubisoft,0.8,0.8,fr
Goldeneye 007: Reloaded,MULTI,2011,Activision,0.8,1.31,us
PokePark 2: Wonders Beyond,Wii,2011,Nintendo,0.79,0.79,jp
