Name,Platform,Year,Publisher,Global_Sales,Total_Sales,Country
Wii Sports,Wii,2006,Nintendo,82.74,82.74,jp
Wii Play,Wii,2006,Nintendo,29.02,29.02,jp
The Legend of Zelda: Twilight Princess,MULTI,2006,Nintendo,7.31,8.9,jp
Gears of War,X360,2006,Microsoft Game Studios,6.11,6.11,us
Final Fantasy XII,PS2,2006,Square Enix,5.95,5.95,jp
Guitar Hero II,MULTI,2006,RedOctane,5.12,7.32,us
Madden NFL 07,MULTI,2006,Electronic Arts,4.49,8.950000000000001,us
Winning Eleven: Pro Evolution Soccer 2007,MULTI,2006,Konami Digital Entertainment,4.39,4.489999999999999,jp
The Elder Scrolls IV: Oblivion,MULTI,2006,Take-Two Interactive,4.39,7.51,us
Resistance: Fall of Man,PS3,2006,Sony Computer Entertainment,4.35,4.35,jp
FIFA Soccer 07,MULTI,2006,Electronic Arts,4.11,5.11,us
MotorStorm,PS3,2006,Sony Computer Entertainment,3.88,3.88,jp
Grand Theft Auto: Liberty City Stories,PS2,2006,Take-Two Interactive,3.54,3.54,us
WarioWare: Smooth Moves,Wii,2006,Nintendo,2.92,2.92,jp
Call of Duty 3,MULTI,2006,Activision,2.71,7.56,us
LEGO Star Wars II: The Original Trilogy,MULTI,2006,LucasArts,2.69,4.74,us
WWE SmackDown vs. RAW 2007,MULTI,2006,THQ,2.58,3.09,us
Marvel: Ultimate Alliance,MULTI,2006,Activision,2.5,4.12,us
Super Monkey Ball: Banana Blitz,Wii,2006,Sega,2.27,2.27,jp
Devil May Cry 3: Dante's Awakening Special Edition,PS2,2006,Capcom,2.21,2.21,jp
Saints Row,X360,2006,THQ,2.19,2.19,us
Dead Rising,MULTI,2006,Capcom,2.09,2.11,jp
SOCOM: U.S. Navy SEALs: Combined Assault,PS2,2006,Sony Computer Entertainment,2.04,2.04,jp
Tom Clancy's Rainbow Six: Vegas,MULTI,2006,Ubisoft,1.96,3.21,fr
NCAA Football 07,MULTI,2006,Electronic Arts,1.7,2.99,us
World Championship Poker: Featuring Howard Lederer - All In,MULTI,2006,Oxygen Interactive,1.68,1.73,gb
