,Name,Platform,Year,Publisher,Global_Sales,Total_Sales
221,FIFA 17,PS4,2016,Electronic Arts,4.77,6.859999999999999
271,Uncharted 4: A Thief's End,PS4,2016,Sony Computer Entertainment,4.2,4.2
351,Tom Clancy's The Division,PS4,2016,Ubisoft,3.61,5.619999999999999
770,Far Cry: Primal,PS4,2016,Ubisoft,2.13,2.98
1026,Overwatch,PS4,2016,Activision,1.73,2.58
1156,No Man's Sky,PS4,2016,Hello Games,1.6,1.6
1189,Dark Souls III,PS4,2016,Namco Bandai Games,1.56,1.9100000000000001
1389,Doom (2016),PS4,2016,Bethesda Softworks,1.39,2.07
1628,Madden NFL 17,PS4,2016,Electronic Arts,1.23,2.21
1701,NBA 2K17,PS4,2016,Take-Two Interactive,1.19,1.93
1727,Ratchet & Clank (2016),PS4,2016,Sony Computer Entertainment,1.17,1.17
1958,Naruto Shippuden: Ultimate Ninja Storm 4,PS4,2016,Namco Bandai Games,1.06,1.34
2212,The Legend of Zelda: Twilight Princess HD,WiiU,2016,Nintendo,0.94,0.94
2242,Pokken Tournament,WiiU,2016,Namco Bandai Games,0.93,0.93
2342,EA Sports UFC 2,PS4,2016,Electronic Arts,0.89,1.29
2457,MLB 16: The Show,PS4,2016,Sony Computer Entertainment,0.84,1.0
2511,Street Fighter V,PS4,2016,Capcom,0.82,0.82
3149,LEGO Marvel's Avengers,PS4,2016,Warner Bros. Interactive Entertainment,0.64,1.85
3746,Lego Star Wars: The Force Awakens,PS4,2016,Warner Bros. Interactive Entertainment,0.54,1.1
3927,Quantum Break,XOne,2016,Microsoft Game Studios,0.51,0.51
4350,Plants vs. Zombies: Garden Warfare 2,PS4,2016,Electronic Arts,0.45,0.89
5015,Forza Horizon 3,XOne,2016,Microsoft Game Studios,0.38,0.38
5096,Life is Strange,PS4,2016,Square Enix,0.37,0.48
5288,Star Fox: Zero,WiiU,2016,Nintendo,0.35,0.35
5426,Persona 5,PS4,2016,Atlus,0.34,0.44000000000000006
5499,Deus Ex: Mankind Divided,PS4,2016,Square Enix,0.33,0.48
5621,TrackMania Turbo,PS4,2016,Ubisoft,0.32,0.38
5633,DiRT Rally,PS4,2016,Codemasters,0.32,0.43
