Name,Platform,Year,Publisher,Global_Sales,Total_Sales,Country
Need for Speed Underground,MULTI,2003,Electronic Arts,7.2,10.120000000000001,us
Mario Kart: Double Dash!!,GC,2003,Nintendo,6.95,6.95,jp
Final Fantasy X-2,PS2,2003,Electronic Arts,5.29,5.29,us
Medal of Honor: Rising Sun,MULTI,2003,Electronic Arts,5.13,6.72,us
The Simpsons: Hit & Run,MULTI,2003,Vivendi Games,4.7,7.04,us
EyeToy Play,PS2,2003,Sony Computer Entertainment,4.2,4.2,jp
Tony Hawk's Underground,MULTI,2003,Activision,3.9,5.87,us
The Lord of the Rings: The Return of the King,MULTI,2003,Electronic Arts,3.28,5.109999999999999,us
True Crime: Streets of LA,MULTI,2003,Activision,3.27,5.21,us
Enter the Matrix,MULTI,2003,Atari,3.18,4.83,us
Sonic Heroes,MULTI,2003,Sega,2.96,5.46,jp
SOCOM II: U.S. Navy SEALs,PS2,2003,Sony Computer Entertainment,2.94,2.94,jp
World Soccer Winning Eleven 7 International,PS2,2003,Konami Digital Entertainment,2.9,2.9,jp
WWE SmackDown! Here Comes the Pain,PS2,2003,THQ,2.8,2.8,us
Jak II,PS2,2003,Sony Computer Entertainment,2.78,2.78,jp
Ratchet & Clank: Going Commando,PS2,2003,Sony Computer Entertainment,2.78,2.78,jp
The Sims,MULTI,2003,Electronic Arts,2.77,3.68,us
Pokémon Colosseum,GC,2003,Nintendo,2.54,2.54,jp
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,MULTI,2003,Take-Two Interactive,2.49,4.21,us
The Sims: Bustin' Out,MULTI,2003,Electronic Arts,2.43,3.6500000000000004,us
Dragon Ball Z: Budokai 2,MULTI,2003,Atari,2.41,2.68,us
Prince of Persia: The Sands of Time,MULTI,2003,Ubisoft,2.22,3.48,fr
Star Wars: Knights of the Old Republic,XB,2003,Activision,2.19,2.19,us
Dynasty Warriors 4,MULTI,2003,Tecmo Koei,2.11,2.27,jp
Finding Nemo,MULTI,2003,THQ,2.09,3.6399999999999997,us
Mario Party 5,GC,2003,Nintendo,2.08,2.08,jp
SoulCalibur II,MULTI,2003,Namco Bandai Games,2.06,4.5600000000000005,jp
NBA Live 2004,MULTI,2003,Electronic Arts,2.03,2.8099999999999996,us
