Name,Platform,Year,Publisher,Global_Sales,Total_Sales,Country
Armored Core V,MULTI,2012,Namco Bandai Games,0.4,0.62,jp
The Darkness II,MULTI,2012,Take-Two Interactive,0.39,0.72,us
Scribblenauts: Unlimited,WiiU,2012,Warner Bros. Interactive Entertainment,0.38,0.38,us
ESPN: Sports Connection,WiiU,2012,Ubisoft,0.37,0.37,fr
James Bond 007: Legends,MULTI,2012,Activision,0.36,0.79,us
F1 Race Stars,MULTI,2012,Codemasters,0.35,0.6399999999999999,gb
Silent Hill HD Collection,MULTI,2012,Konami Digital Entertainment,0.34,0.53,jp
Binary Domain,MULTI,2012,Sega,0.33,0.52,jp
Sorcery,PS3,2012,Sony Computer Entertainment,0.31,0.31,jp
Dai-2-Ji Super Robot Taisen OG,PS3,2012,Namco Bandai Games,0.3,0.3,jp
We Sing Pop!,Wii,2012,Nordic Games,0.3,0.3,at
Fist of the North Star: Ken's Rage 2,MULTI,2012,Tecmo Koei,0.3,0.38,jp
Starhawk,PS3,2012,Sony Computer Entertainment,0.29,0.29,jp
Fable: The Journey,X360,2012,Microsoft Game Studios,0.29,0.29,us
Just Dance Wii 2,Wii,2012,Nintendo,0.29,0.29,jp
Family Guy: Back to the Multiverse,MULTI,2012,Activision,0.29,0.54,us
Hot Shots Golf: World Invitational,PS3,2012,Sony Computer Entertainment,0.28,0.28,jp
Sing Party,WiiU,2012,Nintendo,0.28,0.28,jp
Atelier Ayesha: The Alchemist of Dusk,PS3,2012,Tecmo Koei,0.27,0.27,jp
Angry Birds Trilogy,MULTI,2012,Activision,0.27,0.43000000000000005,us
The Testament of Sherlock Holmes,MULTI,2012,Focus Home Interactive,0.26,0.28,fr
Game of Thrones,MULTI,2012,Focus Home Interactive,0.26,0.51,fr
Tokyo Jungle,PS3,2012,Sony Computer Entertainment,0.26,0.26,jp
Journey,PS3,2012,Sony Computer Entertainment Europe,0.25,0.25,gb
Birds of Steel,MULTI,2012,Konami Digital Entertainment,0.25,0.41000000000000003,jp
Grand Slam Tennis 2,MULTI,2012,Electronic Arts,0.24,0.43,us
DiRT Showdown,MULTI,2012,Codemasters,0.24,0.43,gb
Risen 2: Dark Waters,MULTI,2012,Deep Silver,0.24,0.39,de
Ratchet & Clank: Full Frontal Assault,PS3,2012,Sony Computer Entertainment,0.23,0.23,jp
Just Dance: Greatest Hits,Wii,2012,Ubisoft,0.21,0.21,fr
Anarchy Reigns,MULTI,2012,Sega,0.21,0.38,jp
Jikkyou Powerful Pro Yakyuu 2012,PS3,2012,Konami Digital Entertainment,0.21,0.21,jp
Zumba Fitness Rush,X360,2012,505 Games,0.19,0.19,it
Pro Yaky? Spirits 2012,PS3,2012,Konami Digital Entertainment,0.19,0.19,jp
Syndicate,MULTI,2012,Electronic Arts,0.18,0.32999999999999996,us
Ridge Racer Unbounded,MULTI,2012,Namco Bandai Games,0.18,0.3,jp
Time and Eternity,PS3,2012,Nippon Ichi Software,0.17,0.17,jp
Country Dance: All Stars,X360,2012,GameMill Entertainment,0.17,0.17,us
Hyperdimension Neptunia Victory,PS3,2012,Compile Heart,0.16,0.16,jp
Just Dance: Disney Party,MULTI,2012,Ubisoft,0.16,0.29000000000000004,fr
Mugen Souls,PS3,2012,Nippon Ichi Software,0.16,0.16,jp
Your Shape: Fitness Evolved 2013,WiiU,2012,Ubisoft,0.14,0.14,fr
Transformers: Prime,MULTI,2012,Activision,0.14,0.16,us
Dynasty Warriors 7: Empires,PS3,2012,Ubisoft Annecy,0.14,0.14,fr
Game Party: Champions,WiiU,2012,Warner Bros. Interactive Entertainment,0.14,0.14,us
NeverDead,MULTI,2012,Konami Digital Entertainment,0.13,0.23,jp
Steel Battalion: Heavy Armor,X360,2012,Capcom,0.13,0.13,jp
Marvel Avengers: Battle for Earth,MULTI,2012,Ubisoft,0.12,0.13999999999999999,fr
Blades of Time,MULTI,2012,Konami Digital Entertainment,0.11,0.21000000000000002,jp
Robotics;Notes,MULTI,2012,5pb,0.11,0.13,jp
Fatal Frame 2: Wii Edition,Wii,2012,Nintendo,0.1,0.1,jp
Kidou Senshi Gundam UC,PS3,2012,Namco Bandai Games,0.1,0.1,jp
Inazuma Eleven GO Strikers 2013,Wii,2012,Level 5,0.1,0.1,jp
NASCAR The Game: Inside Line,MULTI,2012,Activision,0.1,0.18,us
Aquapazza: Aquaplus Dream Match,PS3,2012,Aqua Plus,0.1,0.1,jp
Resident Evil Chronicles HD,PS3,2012,Capcom,0.09,0.09,jp
Romance of the Three Kingdoms XII,MULTI,2012,Tecmo Koei,0.09,0.11,jp
Warriors Orochi 3 Hyper,WiiU,2012,Tecmo Koei,0.08,0.08,jp
Steins;Gate,MULTI,2012,PQube,0.08,0.14,gb
I Am In The Movie,Wii,2012,Namco Bandai Games,0.08,0.08,jp
Brothers in Arms: Furious 4,MULTI,2012,Ubisoft,0.08,0.09,fr
Zumba Fitness Core,MULTI,2012,505 Games,0.07,0.14,it
Damage Inc.: Pacific Squadron WWII,X360,2012,Mad Catz,0.07,0.07,us
Winning Post 7 2012,PS3,2012,Ackkstudios,0.07,0.07,us
Inversion,MULTI,2012,Namco Bandai Games,0.07,0.13,jp
