Name,Platform,Year,Publisher,Global_Sales,Total_Sales,Country
The Legend of Zelda,NES,1986,Nintendo,6.51,6.51,jp
World Class Track Meet,NES,1986,Namco Bandai Games,3.08,3.08,jp
Metroid,NES,1986,Nintendo,2.73,2.73,jp
Super Mario Bros.: The Lost Levels,NES,1986,Nintendo,2.65,2.65,jp
Dragon Warrior,NES,1986,Capcom,2.52,2.52,jp
Pro Yakyuu Family Stadium,MULTI,1986,Namco Bandai Games,2.2,2.23,jp
Rad Racer,NES,1986,Nintendo,1.96,1.96,jp
Kid Icarus,NES,1986,Nintendo,1.76,1.76,jp
Ghosts 'n Goblins,NES,1986,Capcom,1.64,1.64,jp
Ninja Hattori Kun: Ninja wa Shuugyou Degogiru no Maki,NES,1986,Hudson Soft,1.5,1.5,jp
Gradius,NES,1986,Konami Digital Entertainment,1.36,1.36,jp
Castlevania,MULTI,1986,Konami Digital Entertainment,1.23,1.87,jp
TwinBee,NES,1986,Konami Digital Entertainment,1.2,1.2,jp
Ganbare Goemon! Karakuri Douchuu,NES,1986,Konami Digital Entertainment,1.2,1.2,jp
Doraemon,NES,1986,Hudson Soft,1.15,1.15,jp
Commando,MULTI,1986,Capcom,1.14,1.6099999999999999,jp
Adventure Island,NES,1986,Hudson Soft,1.05,1.05,jp
Star Soldier,NES,1986,Hudson Soft,0.96,0.96,jp
The Mysterious Murasame Castle,NES,1986,Nintendo,0.57,0.57,jp
Solaris,2600,1986,Atari,0.37,0.37,us
RealSports Boxing,2600,1986,Atari,0.29,0.29,us
