,Name,Platform,Year,Publisher,Global_Sales,Total_Sales
4815,Samurai Shodown,SNES,1994,Takara,0.4,0.47000000000000003
4960,Super Famista 3,SNES,1994,Namco Bandai Games,0.39,0.39
5014,ESPN Extreme Games,PS,1994,Sony Computer Entertainment,0.38,0.38
5101,Kileak: The DNA Imperative,PS,1994,Sony Computer Entertainment,0.37,0.37
5115,Super Formation Soccer 94,SNES,1994,Human Entertainment,0.37,0.37
5142,Super Robot Taisen EX,SNES,1994,Banpresto,0.37,0.37
5147,Shin Megami Tensei II,SNES,1994,Atlus,0.37,0.37
5166,Zero4 Champ RR,SNES,1994,Media Rings,0.36,0.36
5173,Super Fire ProWrestling Special,SNES,1994,Human Entertainment,0.36,0.36
5217,Breath of Fire II,SNES,1994,Laguna,0.36,0.36
5252,Ganbare Goemon 3: Shishi Jyuurokubei no Karakuri Manji Katame,SNES,1994,Konami Digital Entertainment,0.36,0.36
5494,Super Power League 2,SNES,1994,Hudson Soft,0.33,0.33
5533,Parodius,PS,1994,Konami Digital Entertainment,0.33,0.5
5672,Live A Live,SNES,1994,SquareSoft,0.32,0.32
5817,Yuu Yuu Hakusho 2: Kakutou no Sho,SNES,1994,Namco Bandai Games,0.31,0.31
5868,Decathlete,SAT,1994,Sega,0.3,0.3
5881,Daikaijyuu Monogatari,SNES,1994,Hudson Soft,0.3,0.3
6002,Itadaki Street 2: Neon Sign wa Bara Iro ni,SNES,1994,Enix Corporation,0.29,0.29
6117,International Superstar Soccer,SNES,1994,Konami Digital Entertainment,0.28,0.28
6308,Slam Dunk: Yonkyo Taiketsu!!,SNES,1994,Namco Bandai Games,0.27,0.27
6368,Thoroughbred Breeder II,SNES,1994,Hect,0.27,0.27
6473,Virtua Racing,GEN,1994,Sega,0.26,0.26
6631,Galactic Attack,SAT,1994,Acclaim Entertainment,0.25,0.25
6641,A. IV Evolution: A Ressha de Ikou 4,PS,1994,ArtDink,0.25,0.25
6681,Samurai Shodown II,NG,1994,SNK,0.25,0.25
7045,The King of Fighters '95 (CD),NG,1994,SNK,0.23,0.23
7535,Drift King Shutokou Battle '94,SNES,1994,BPS,0.2,0.2
7553,Samurai Spirits (CD),NG,1994,SNK,0.2,0.2
7647,Wing Arms,SAT,1994,Sega,0.2,0.2
7947,ThunderStrike 2,PS,1994,Core Design Ltd.,0.19,0.19
7962,SD Gundam GX,SNES,1994,Namco Bandai Games,0.19,0.19
8100,Gokujou Parodius,SNES,1994,Konami Digital Entertainment,0.18,0.18
8124,F1 Challenge,SAT,1994,Sega,0.18,0.18
8639,Saturday Night Slam Masters,SNES,1994,Capcom,0.16,0.16
9004,"Lunar 2: Eternal Blue(sales, but wrong system)",GEN,1994,Game Arts,0.14,0.14
9014,Shining Force CD,SCD,1994,Sega,0.14,0.14
9717,The King of Fighters '94,NG,1994,SNK,0.12,0.12
9844,Slayers,SNES,1994,Banpresto,0.12,0.12
9899,Battle Arena Toshinden Remix,SAT,1994,Sega,0.12,0.12
9919,Bishoujo Senshi Sailormoon S: Juugai Rantou!? Shuyaku Soudatsusen,SNES,1994,Angel Studios,0.12,0.12
9985,Center Ring Boxing,SAT,1994,JVC,0.12,0.12
10036,Primal Rage,PS,1994,Time Warner Interactive,0.11,0.11
10089,Jikkyou Powerful Pro Yakyuu '95,PS,1994,Konami Digital Entertainment,0.11,0.11
10309,Final Fantasy I & II,NES,1994,Square,0.11,0.11
10354,Jupiter Strike,PS,1994,Acclaim Entertainment,0.11,0.11
10672,Crime Crackers,PS,1994,Sony Computer Entertainment,0.1,0.1
11087,Clockwork Knight,SAT,1994,Sega,0.09,0.09
11439,King's Field (Japan),PS,1994,From Software,0.08,0.08
11541,Yuu Yuu Hakusho: Makyo Toitsusen,GEN,1994,Sega,0.08,0.08
11640,Dragon Slayer: The Legend of Heroes,GEN,1994,Sega,0.08,0.15000000000000002
11670,Majin Tensei,SNES,1994,Atlus,0.08,0.08
11738,Gale Racer,SAT,1994,Sega,0.07,0.07
11751,Formula One World Championship: Beyond the Limit,SCD,1994,Sega,0.07,0.07
11835,Derby Jockey: Kishou e no Michi,SNES,1994,Asmik Corp,0.07,0.07
11882,Kenyuu Densetsu Yaiba,SNES,1994,Banpresto,0.07,0.07
12078,Motor Toon Grand Prix (Japan),PS,1994,Sony Computer Entertainment,0.07,0.07
12263,Discworld,PS,1994,Psygnosis,0.06,0.06
12351,Robotica,SAT,1994,Sega,0.06,0.06
12538,Worldwide Soccer,SAT,1994,Sega,0.06,0.06
12570,Record of Lodoss War: Eiyuu Sensou,SCD,1994,Sega,0.06,0.06
12971,Game no Kanzume Vol 2,SCD,1994,Sega,0.05,0.05
13141,Hisshou 777 Fighter: Pachi Slot Eiyu Densetsu,SNES,1994,Vap,0.05,0.05
13243,Golden Axe: The Duel,SAT,1994,Sega,0.05,0.05
13452,Game no Kanzume Vol 1,SCD,1994,Sega,0.05,0.05
13971,Galaxy Fight,SAT,1994,Sunsoft,0.04,0.04
14034,J-League Pro Striker 2,GEN,1994,Sega,0.04,0.04
14093,Castlevania Bloodlines,GEN,1994,Konami Digital Entertainment,0.04,0.04
14218,First Queen: Ornic Senki,SNES,1994,Culture Brain,0.03,0.03
14230,Gaia Saver Hero Saidai no Sakusen,SNES,1994,Banpresto,0.03,0.03
14416,Puzzle & Action: Tant-R,GEN,1994,Sega,0.03,0.03
14661,Kidou Senshi V Gundam,SNES,1994,Namco Bandai Games,0.03,0.03
14898,The Great Battle Gaiden 2: Matsuri da Wasshoi,SNES,1994,Banpresto,0.03,0.03
14996,Bust-A-Move,3DO,1994,Micro Cabin,0.02,0.02
15255,Sugoi Hebereke,SNES,1994,Sunsoft,0.02,0.02
15256,Pebble Beach Golf Links,SAT,1994,Sega,0.02,0.02
15687,World Class Rugby 2: Kokunai Gekitou Hen '93,SNES,1994,Misawa,0.02,0.02
