Name,Platform,Year,Publisher,Global_Sales,Total_Sales,Country
Zelda II: The Adventure of Link,NES,1987,Nintendo,4.38,4.38,jp
Mike Tyson's Punch-Out!!,NES,1987,Nintendo,3.02,3.02,jp
Dragon Warrior II,NES,1987,Enix Corporation,2.56,2.56,jp
Pro Wrestling,NES,1987,Nintendo,2.4,2.4,jp
Volleyball,NES,1987,Nintendo,2.15,2.15,jp
Pro Yakyuu Family Stadium '87,NES,1987,Namco Bandai Games,1.42,1.42,jp
Gegege no Kitarou 2: Youkai Gundan no Chousen,NES,1987,Namco Bandai Games,1.25,1.25,jp
Castlevania II: Simon's Quest,NES,1987,Konami Digital Entertainment,0.93,0.93,jp
Final Fantasy,MULTI,1987,SquareSoft,0.84,1.35,jp
Mega Man,NES,1987,Capcom,0.81,0.81,jp
Kung-Fu Master,2600,1987,Activision,0.65,0.65,us
Defender II,2600,1987,Atari,0.45,0.45,us
Desert Falcon,2600,1987,Atari,0.26,0.26,us
Super Football,2600,1987,Atari,0.08,0.08,us
Super Baseball,2600,1987,Atari,0.07,0.07,us
