Name,Platform,Year,Publisher,Global_Sales,Total_Sales,Country
Grand Theft Auto V,MULTI,2013,Take-Two Interactive,21.4,54.839999999999996,us
Call of Duty: Ghosts,MULTI,2013,Activision,10.21,26.650000000000002,us
Minecraft,MULTI,2013,Microsoft Game Studios,9.2,21.48,us
FIFA 14,MULTI,2013,Electronic Arts,6.9,15.73,us
The Last of Us,MULTI,2013,Sony Computer Entertainment Europe,5.99,10.54,gb
Super Mario 3D World,WiiU,2013,Nintendo,4.25,4.25,jp
Assassin's Creed IV: Black Flag,MULTI,2013,Ubisoft,3.89,12.47,fr
Just Dance 2014,MULTI,2013,Ubisoft,3.76,6.58,fr
Battlefield 4,MULTI,2013,Electronic Arts,3.69,12.629999999999999,us
Gran Turismo 6,PS3,2013,Sony Computer Entertainment,3.64,3.64,jp
Killzone: Shadow Fall,PS4,2013,Sony Computer Entertainment,2.58,2.58,jp
Tomb Raider (2013),MULTI,2013,Square Enix,2.51,6.4399999999999995,jp
NBA 2K14,MULTI,2013,Take-Two Interactive,2.47,6.72,us
Batman: Arkham Origins,MULTI,2013,Warner Bros. Interactive Entertainment,2.39,4.65,us
Skylanders SWAP Force,MULTI,2013,Activision,2.34,6.02,us
LEGO Marvel Super Heroes,MULTI,2013,Warner Bros. Interactive Entertainment,2.3,7.64,us
God of War: Ascension,PS3,2013,Sony Computer Entertainment,2.29,2.29,jp
New Super Luigi U,WiiU,2013,Nintendo,2.22,2.22,jp
Forza Motorsport 5,XOne,2013,Microsoft Game Studios,2.18,2.18,us
Madden NFL 25,MULTI,2013,Electronic Arts,2.18,5.54,us
Diablo III,MULTI,2013,Activision,2.05,5.88,us
BioShock Infinite,MULTI,2013,Take-Two Interactive,1.96,3.7199999999999998,us
Need for Speed Rivals,MULTI,2013,Electronic Arts,1.89,4.84,us
Beyond: Two Souls,PS3,2013,Sony Computer Entertainment,1.79,1.79,jp
Wii Party U,WiiU,2013,Nintendo,1.77,1.77,jp
Disney Infinity,MULTI,2013,Disney Interactive Studios,1.73,4.76,us
Saints Row IV,MULTI,2013,Deep Silver,1.69,3.57,de
Knack,PS4,2013,Sony Computer Entertainment Europe,1.67,1.67,gb
Gears of War: Judgment,X360,2013,Microsoft Game Studios,1.61,1.61,us
Dead Rising 3,XOne,2013,Microsoft Game Studios,1.54,1.54,us
Metal Gear Rising: Revengeance,MULTI,2013,Konami Digital Entertainment,1.47,1.97,jp
Injustice: Gods Among Us,MULTI,2013,Warner Bros. Interactive Entertainment,1.41,3.73,us
Ryse: Son of Rome,XOne,2013,Microsoft Game Studios,1.36,1.36,us
Final Fantasy X / X-2 HD Remaster,PS3,2013,Square Enix,1.33,1.33,jp
WWE 2K14,MULTI,2013,Take-Two Interactive,1.19,2.32,us
Final Fantasy XIV: A Realm Reborn,MULTI,2013,Square Enix,1.12,1.84,jp
Pikmin 3,WiiU,2013,Nintendo,1.11,1.11,jp
Lightning Returns: Final Fantasy XIII,MULTI,2013,Square Enix,1.1,1.3900000000000001,jp
LEGO City Undercover,WiiU,2013,Nintendo,1.08,1.08,jp
NCAA Football 14,MULTI,2013,Electronic Arts,1.07,1.87,us
Rocksmith 2014,MULTI,2013,Ubisoft,1.0,2.96,fr
Dead Space 3,MULTI,2013,Electronic Arts,1.0,1.99,us
Tom Clancy's Splinter Cell: Blacklist,MULTI,2013,Ubisoft,0.99,2.09,fr
Pro Evolution Soccer 2014,MULTI,2013,Konami Digital Entertainment,0.98,1.23,jp
Naruto Shippuden: Ultimate Ninja Storm 3,MULTI,2013,Namco Bandai Games,0.96,1.47,jp
Crysis 3,MULTI,2013,Electronic Arts,0.92,1.82,us
Wii Fit U,WiiU,2013,Nintendo,0.89,0.89,jp
DmC: Devil May Cry,MULTI,2013,Capcom,0.82,1.69,jp
Aliens: Colonial Marines,MULTI,2013,Sega,0.8,1.44,jp
Resident Evil: Revelations,MULTI,2013,Capcom,0.8,1.27,jp
Mario & Sonic at the Sochi 2014 Olympic Winter Games,WiiU,2013,Nintendo,0.8,0.8,jp
Dead Island: Riptide,MULTI,2013,Deep Silver,0.79,1.4100000000000001,de
Terraria,MULTI,2013,505 Games,0.72,1.3399999999999999,it
MLB 13: The Show,PS3,2013,Sony Computer Entertainment,0.71,0.71,jp
Ratchet & Clank: Into the Nexus,PS3,2013,Sony Computer Entertainment,0.71,0.71,jp
One Piece: Pirate Warriors 2,PS3,2013,Namco Bandai Games,0.69,0.69,jp
The Walking Dead: Survival Instinct,MULTI,2013,Activision,0.64,1.29,us
F1 2013,MULTI,2013,Codemasters,0.63,0.96,gb
Dynasty Warriors 8,MULTI,2013,Tecmo Koei,0.61,0.77,jp
Payday 2,MULTI,2013,505 Games,0.59,1.47,it
JoJo's Bizarre Adventure: All Star Battle,PS3,2013,Namco Bandai Games,0.58,0.58,jp
Defiance,MULTI,2013,Trion Worlds,0.57,0.9299999999999999,us
NHL 14,MULTI,2013,Electronic Arts,0.57,1.1099999999999999,us
Sly Cooper: Thieves in Time,PS3,2013,Sony Computer Entertainment Europe,0.55,0.55,gb
Dragon's Crown,PS3,2013,Nippon Ichi Software,0.53,0.53,jp
Deadpool,MULTI,2013,Activision,0.47,1.33,us
Major League Baseball 2K13,MULTI,2013,Take-Two Interactive,0.47,0.62,us
The Wonderful 101,WiiU,2013,Nintendo,0.41,0.41,jp
Sonic Lost World,WiiU,2013,Sega,0.4,0.4,jp
GRID 2,MULTI,2013,Codemasters,0.39,0.6799999999999999,gb
Metal Gear Solid: The Legacy Collection,PS3,2013,Konami Digital Entertainment,0.39,0.39,jp
Tiger Woods PGA Tour 14,MULTI,2013,Electronic Arts,0.39,0.75,us
Farming Simulator 2013,MULTI,2013,Focus Home Interactive,0.39,0.55,fr
Earth Defense Force 2025,MULTI,2013,D3Publisher,0.36,0.51,jp
Remember Me,MULTI,2013,Capcom,0.35,0.53,jp
Angry Birds Star Wars,MULTI,2013,Activision,0.35,1.44,us
Sniper: Ghost Warrior 2,MULTI,2013,City Interactive,0.35,0.57,pl
Zoo Tycoon (2013),MULTI,2013,Microsoft Game Studios,0.34,0.44000000000000006,us
Drakengard 3,PS3,2013,Square Enix,0.3,0.3,jp
The Bureau: XCOM Declassified,MULTI,2013,Take-Two Interactive,0.29,0.53,us
BlazBlue: Chrono Phantasma,PS3,2013,Arc System Works,0.29,0.29,jp
Army of Two: The Devil's Cartel,MULTI,2013,Electronic Arts,0.28,0.54,us
Puppeteer,PS3,2013,Sony Computer Entertainment Europe,0.28,0.28,gb
Zumba Fitness: World Party,MULTI,2013,Majesco Entertainment,0.27,0.5,us
Hatsune Miku: Project Diva f,PS3,2013,Sega,0.27,0.27,jp
Gundam Breaker,PS3,2013,Namco Bandai Games,0.26,0.26,jp
Jikkyou Powerful Pro Yakyuu 2013,PS3,2013,Konami Digital Entertainment,0.26,0.26,jp
Star Trek: The Game,MULTI,2013,Namco Bandai Games,0.26,0.48,jp
Game & Wario,WiiU,2013,Nintendo,0.24,0.24,jp
Dynasty Warriors: Gundam Reborn,PS3,2013,Tecmo Koei,0.23,0.23,jp
Killer is Dead,MULTI,2013,Deep Silver,0.22,0.33999999999999997,de
Atelier Escha & Logy: Alchemists of the Dusk Sky,PS3,2013,Tecmo Koei,0.22,0.22,jp
Hitman: HD Trilogy,MULTI,2013,Square Enix,0.22,0.4,jp
The Legend of Heroes: Trails of Cold Steel,PS3,2013,Nippon Ichi Software,0.22,0.22,jp
Lost Planet 3,MULTI,2013,Capcom,0.22,0.33999999999999997,jp
NBA Live 14,MULTI,2013,Electronic Arts,0.22,0.41000000000000003,us
Disney's Planes,MULTI,2013,Disney Interactive Studios,0.21,0.38,us
Disgaea D2: A Brighter Darkness,PS3,2013,Nippon Ichi Software,0.21,0.21,jp
Fairy Fencer F,PS3,2013,Nippon Ichi Software,0.2,0.2,jp
