Name,Platform,Year,Publisher,Global_Sales,Total_Sales
Resident Evil (Remake),GC,2002,Capcom,1.42,1.42
Toy Story 3: The Video Game,MULTI,2010,Disney Interactive Studios,1.41,3.3
Injustice: Gods Among Us,MULTI,2013,Warner Bros. Interactive Entertainment,1.41,3.73
Metroid: Other M,Wii,2010,Nintendo,1.41,1.41
Knockout Kings 2000,MULTI,1999,Electronic Arts,1.41,2.33
Gran Turismo 4 Prologue,PS2,2003,Sony Computer Entertainment,1.41,1.41
Twisted Metal: Black,PS2,2001,Sony Computer Entertainment,1.41,1.41
NASCAR 2005: Chase for the Cup,MULTI,2004,Electronic Arts,1.41,1.98
2Xtreme,PS,1996,Sony Computer Entertainment,1.4,1.4
Colin McRae Rally 3,MULTI,2002,Codemasters,1.4,1.44
Doom (2016),MULTI,2016,Bethesda Softworks,1.39,2.07
Deus Ex: Human Revolution,MULTI,2011,Square Enix,1.39,2.9
Teenage Mutant Ninja Turtles III: The Manhattan Project,NES,1991,Konami Digital Entertainment,1.39,1.39
Dynasty Warriors 5,MULTI,2005,Tecmo Koei,1.39,1.44
Hannah Montana: Spotlight World Tour,MULTI,2007,Disney Interactive Studios,1.39,1.67
WWE '13,MULTI,2012,THQ,1.39,2.83
Paper Mario,N64,2000,Nintendo,1.38,1.38
Duke Nukem: Time to Kill,PS,1998,Take-Two Interactive,1.38,1.38
Hasbro Family Game Night 2,Wii,2009,Electronic Arts,1.38,1.38
Disney Princess: Enchanted Journey,MULTI,2007,Disney Interactive Studios,1.38,1.6099999999999999
Dave Mirra Freestyle BMX 2,MULTI,2001,Acclaim Entertainment,1.38,1.8599999999999999
Assassin's Creed: Rogue,MULTI,2014,Ubisoft,1.37,2.42
Ridge Racer 7,PS3,2006,Namco Bandai Games,1.37,1.37
A Collection of Activision Classic Games for the Atari 2600,PS,1998,Activision,1.37,1.37
Forza Horizon 2,MULTI,2014,Microsoft Game Studios,1.37,2.22
MotorStorm: Pacific Rift,PS3,2008,Sony Computer Entertainment,1.37,1.37
Star Wars Knights of the Old Republic II: The Sith Lords,XB,2004,Activision,1.37,1.37
Pocket Monsters Stadium,N64,1998,Nintendo,1.37,1.37
Tom Clancy's Ghost Recon 2,MULTI,2004,Ubisoft,1.36,2.5100000000000002
SingStar Abba,MULTI,2008,Sony Computer Entertainment,1.36,2.31
Gradius,NES,1986,Konami Digital Entertainment,1.36,1.36
Dragon Quest III: Soshite Densetsu e...,SNES,1996,Enix Corporation,1.36,1.36
Centipede,MULTI,1981,Atari,1.36,2.0100000000000002
Ryse: Son of Rome,XOne,2013,Microsoft Game Studios,1.36,1.36
Dead to Rights,MULTI,2002,Electronic Arts,1.36,2.22
LEGO Harry Potter: Years 5-7,MULTI,0,Warner Bros. Interactive Entertainment,1.36,3.3200000000000003
Marvel vs. Capcom 3: Fate of Two Worlds,MULTI,2011,Capcom,1.35,2.43
Dance Dance Revolution (Japan),PS,1999,Konami Digital Entertainment,1.35,1.35
F1 2010,MULTI,2010,Codemasters,1.35,2.24
Madden NFL 98,PS,1997,Electronic Arts,1.35,1.35
Alan Wake,X360,2010,Microsoft Game Studios,1.35,1.35
Samurai Warriors,MULTI,2004,Electronic Arts,1.35,1.4200000000000002
Crysis 2,MULTI,2011,Electronic Arts,1.35,2.6500000000000004
SaGa Frontier,PS,1997,SquareSoft,1.35,1.35
SingStar Party,PS2,2004,Sony Computer Entertainment,1.35,1.35
The ICO & Shadow of the Colossus Collection,PS3,2011,Sony Computer Entertainment,1.35,1.35
Test Drive,MULTI,2002,Atari,1.34,1.76
Lost Planet: Extreme Condition,MULTI,2006,Capcom,1.34,1.98
Doom 3,XB,2005,Activision,1.34,1.34
Donkey Kong Jungle Beat,MULTI,2004,Nintendo,1.34,1.35
Max Payne 2: The Fall of Max Payne,MULTI,2003,Take-Two Interactive,1.34,1.98
MVP Baseball 2004,MULTI,2004,Electronic Arts,1.34,2.19
Ratchet & Clank: Up Your Arsenal (Weekly american sales),PS2,2004,Sony Computer Entertainment,1.33,1.33
Your Shape: Fitness Evolved,X360,2010,Ubisoft,1.33,1.33
Triple Play 2001,PS,2000,Electronic Arts,1.33,1.33
Metroid Prime 2: Echoes,GC,2004,Nintendo,1.33,1.33
Final Fantasy X / X-2 HD Remaster,PS3,2013,Square Enix,1.33,1.33
Corvette,MULTI,2004,TDK Mediactive,1.33,1.57
Dark Souls II,MULTI,2014,Namco Bandai Games,1.32,2.89
The LEGO Movie Videogame,MULTI,2014,Warner Bros. Interactive Entertainment,1.32,4.17
TOCA 2: Touring Cars,PS,1998,Codemasters,1.32,1.32
Gyromite,NES,1985,Nintendo,1.32,1.32
NFL 2K3,MULTI,2002,Atari,1.32,2.06
Fighting Force,PS,1997,Eidos Interactive,1.32,1.32
MAG: Massive Action Game,PS3,2010,Sony Computer Entertainment,1.32,1.32
Madden NFL 97,PS,1996,Electronic Arts,1.32,1.32
TNN Motor Sports Hardcore 4x4,PS,1996,ASC Games,1.31,1.31
IHRA Drag Racing 2,PS2,2002,Bethesda Softworks,1.31,1.31
[Prototype],MULTI,2009,Activision,1.31,2.55
Deal or No Deal,Wii,2009,Zoo Games,1.31,1.31
Madagascar,MULTI,2005,Activision,1.31,2.25
Rugrats Studio Tour,PS,1999,THQ,1.31,1.31
Pitfall II: Lost Caverns,2600,1983,Activision,1.31,1.31
Turok: Evolution,MULTI,2002,Acclaim Entertainment,1.31,2.24
High School Musical 3: Senior Year DANCE!,MULTI,2008,Disney Interactive Studios,1.31,1.85
Gold's Gym: Cardio Workout,Wii,2008,Ubisoft,1.31,1.31
Adventure,2600,0,Atari,1.3,1.3
NBA Live 07,MULTI,2006,Electronic Arts,1.3,1.82
SingStar '80s,PS2,2005,Sony Computer Entertainment,1.3,1.3
EA Playground,Wii,2007,Electronic Arts,1.3,1.3
Test Drive 5,PS,1997,Accolade,1.3,1.3
Romancing SaGa 3,SNES,1995,SquareSoft,1.3,1.3
EA Sports Active 2,MULTI,2010,Electronic Arts,1.3,2.6100000000000003
Digimon World,PS,1999,Namco Bandai Games,1.3,1.3
Rise of the Tomb Raider,MULTI,2015,Square Enix,1.3,1.7000000000000002
Yoshi's Woolly World,WiiU,2015,Nintendo,1.29,1.29
FIFA Street,MULTI,2012,Electronic Arts,1.29,2.68
Resident Evil Zero,MULTI,2002,Capcom,1.29,1.72
Transformers,PS2,2004,Atari,1.29,1.29
Guitar Hero: Aerosmith,MULTI,2008,Activision,1.29,4.3
Valkyria Chronicles,MULTI,2008,Sega,1.29,1.46
Midnight Club 3: DUB Edition (America weekly sales),PS2,2005,Take-Two Interactive,1.29,1.29
Champions of Norrath,PS2,2004,Sony Online Entertainment,1.28,1.28
Metal Gear Solid V: Ground Zeroes,MULTI,2014,Konami Digital Entertainment,1.28,2.33
Army Men 3D,PS,1999,3DO,1.28,1.28
Twisted Metal 4,PS,1999,989 Studios,1.28,1.28
Manhunt,MULTI,2003,Take-Two Interactive,1.28,1.47
Silent Hill 2,PS2,2001,Konami Digital Entertainment,1.28,1.28
Tomb Raider: Underworld,MULTI,2008,Eidos Interactive,1.27,3.0100000000000002
Castlevania: Symphony of the Night,PS,1997,Konami Digital Entertainment,1.27,1.27
Road Rash,PS,1995,Electronic Arts,1.27,1.27
Atlantis,2600,1981,Imagic,1.27,1.27
NBA 2K9,MULTI,2008,Take-Two Interactive,1.27,2.29
WWE '12,MULTI,2011,THQ,1.27,2.81
Hogan's Alley,NES,1984,Nintendo,1.27,1.27
Jillian Michaels' Fitness Ultimatum 2009,Wii,2008,Deep Silver,1.27,1.27
.hack//Infection Part 1,PS2,2002,Atari,1.27,1.27
Rockstar Games presents Table Tennis,MULTI,2007,Take-Two Interactive,1.27,2.0300000000000002
Sonic Adventure DX: Director's Cut,GC,2003,Sega,1.27,1.27
Jet Li: Rise to Honor,PS2,2004,Sony Computer Entertainment,1.27,1.27
Battle Arena Toshinden,PS,1994,Sony Computer Entertainment,1.27,1.27
Devil Dice,PS,1998,THQ,1.26,1.26
Hyrule Warriors,WiiU,2014,Nintendo,1.26,1.26
Brian Lara Cricket,PS,1998,Codemasters,1.26,1.26
Wheel of Fortune,MULTI,1998,Hasbro Interactive,1.26,3.46
LEGO The Lord of the Rings,MULTI,2012,Warner Bros. Interactive Entertainment,1.26,3.33
Winter Sports: The Ultimate Challenge,Wii,2007,RTL,1.26,1.26
SOCOM: U.S. Navy SEALs Confrontation,PS3,2008,Sony Computer Entertainment,1.25,1.25
NBA Live 2001,MULTI,2000,Electronic Arts,1.25,2.35
Combat,2600,0,Atari,1.25,1.25
Dragon Ball: Daimaou Fukkatsu,NES,1988,Namco Bandai Games,1.25,1.25
Gegege no Kitarou 2: Youkai Gundan no Chousen,NES,1987,Namco Bandai Games,1.25,1.25
Reel Fishing,PS,1996,Natsume,1.25,1.25
Pokemon XD: Gale of Darkness,GC,2005,Nintendo,1.25,1.25
Black,MULTI,2006,Electronic Arts,1.25,1.67
Lara Croft Tomb Raider: The Angel of Darkness,PS2,2003,Eidos Interactive,1.25,1.25
Road Rash 3D,PS,1998,Electronic Arts,1.25,1.25
Ratchet: Deadlocked,PS2,2005,Sony Computer Entertainment,1.24,1.24
Baldur's Gate: Dark Alliance,MULTI,2001,Virgin Interactive,1.24,1.58
Tales of Xillia,PS3,2011,Namco Bandai Games,1.24,1.24
Oddworld: Abe's Oddysee,PS,1997,GT Interactive,1.24,1.24
Ridge Racer V,PS2,2000,Namco Bandai Games,1.24,1.24
WWE SmackDown vs. Raw 2009,MULTI,2008,THQ,1.24,3.94
Ben 10: Protector of Earth,MULTI,2007,D3Publisher,1.23,2.07
Frogger: The Great Quest,PS2,2001,Konami Digital Entertainment,1.23,1.23
2010 FIFA World Cup South Africa,MULTI,2010,Electronic Arts,1.23,2.52
Ninja Gaiden,XB,2004,Microsoft Game Studios,1.23,1.23
Driv3r,MULTI,2004,Atari,1.23,1.99
Disney's Tarzan / Disney's Aladdin in Nasira's Revenge / Disney's The Emperor's New Groove Action Game,PS,2003,Sony Computer Entertainment,1.23,1.23
Medal of Honor: Airborne,MULTI,2007,Electronic Arts,1.23,2.33
Vigilante 8,MULTI,1998,Activision,1.23,1.54
Castlevania,MULTI,1986,Konami Digital Entertainment,1.23,1.87
Bayonetta,MULTI,2009,Sega,1.23,2.17
Madden NFL 17,MULTI,2016,Electronic Arts,1.23,2.21
Boom Blox,Wii,2008,Electronic Arts,1.23,1.23
The Sims 2: Castaway,MULTI,2007,Electronic Arts,1.23,1.6
Naruto Shippuden: Ultimate Ninja Storm 2,MULTI,2010,Namco Bandai Games,1.22,2.01
Mario Power Tennis,GC,2004,Nintendo,1.22,1.22
Intelligent Qube,PS,1997,Sony Computer Entertainment,1.22,1.22
Parfait: Chocolat Second Style,PS2,2006,Alchemist,1.22,1.22
F1 2011,MULTI,2011,Codemasters,1.22,1.95
NBA Live 99,MULTI,1997,Electronic Arts,1.22,1.69
Chocobo no Fushigi Dungeon,PS,1997,SquareSoft,1.22,1.22
SimCity 2000,MULTI,1996,Maxis,1.22,1.99
WCW Mayhem,MULTI,1998,Electronic Arts,1.22,2.01
NBA 2K2,MULTI,2002,Sega,1.22,1.54
NASCAR Thunder 2003,MULTI,0,Unknown,1.22,1.8
Cars,MULTI,2006,THQ,1.21,3.53
Fuzion Frenzy,XB,2001,Microsoft Game Studios,1.21,1.21
Sly Cooper and the Thievius Raccoonus,PS2,2002,Sony Computer Entertainment,1.21,1.21
The Magical Quest starring Mickey Mouse,SNES,1992,Capcom,1.21,1.21
Dragon Quest IV: Michibikareshi Monotachi,PS,2001,Enix Corporation,1.21,1.21
Star Wars Episode 1: Jedi Power Battles,PS,1999,LucasArts,1.21,1.21
Dino Crisis 2,PS,2000,Virgin Interactive,1.21,1.21
Test Drive 4,PS,1997,Electronic Arts,1.21,1.21
The Lord of the Rings: The Fellowship of the Ring,MULTI,2002,Black Label Games,1.2,1.73
ATV Offroad Fury 3,PS2,2004,SouthPeak Games,1.2,1.2
Pikmin 2,GC,2004,Nintendo,1.2,1.2
Just Dance 2016,MULTI,2015,Ubisoft,1.2,3.03
Disney Sing It,MULTI,2008,Disney Interactive Studios,1.2,2.51
WWE 2K16,MULTI,2015,Take-Two Interactive,1.2,2.86
Dragon Ball Z: La Legende Saien,SNES,1993,Namco Bandai Games,1.2,1.2
TwinBee,NES,1986,Konami Digital Entertainment,1.2,1.2
Ganbare Goemon! Karakuri Douchuu,NES,1986,Konami Digital Entertainment,1.2,1.2
NFL 2K,DC,1999,Sega,1.2,1.2
NHL 2002,MULTI,2001,Electronic Arts,1.2,1.47
PokéPark Wii: Pikachu's Adventure,Wii,2009,Nintendo,1.2,1.2
One Piece: Pirate Warriors,PS3,2012,Namco Bandai Games,1.2,1.2
WWE 2K14,MULTI,2013,Take-Two Interactive,1.19,2.32
Nuclear Strike,PS,1997,Electronic Arts,1.19,1.19
Captain Toad: Treasure Tracker,WiiU,2014,Nintendo,1.19,1.19
Scarface: The World is Yours,MULTI,2006,Vivendi Games,1.19,1.8299999999999998
Kobe Bryant in NBA Courtside,N64,1998,Nintendo,1.19,1.19
Disney's Chip 'n Dale: Rescue Rangers,NES,1990,Capcom,1.19,1.19
The Dukes of Hazzard: Racing for Home,PS,1999,Ubisoft,1.19,1.19
NBA 2K17,MULTI,2016,Take-Two Interactive,1.19,1.93
Metal Gear Solid VR Missions,PS,1999,Konami Digital Entertainment,1.18,1.18
Pole Position,2600,1982,Atari,1.18,1.18
Resident Evil: Operation Raccoon City,MULTI,2012,Capcom,1.18,1.96
Pro Yakyuu Family Stadium '88,NES,1988,Namco Bandai Games,1.18,1.18
Shenmue,DC,1999,Sega,1.18,1.18
WWE SmackDown vs. Raw 2010,MULTI,2009,THQ,1.18,4.05
Super Ghouls 'n Ghosts,SNES,1991,Capcom,1.18,1.18
Soviet Strike,PS,1996,Electronic Arts,1.17,1.17
Your Shape: Fitness Evolved 2012,X360,2011,Ubisoft,1.17,1.17
Gun,MULTI,2005,Activision,1.17,2.14
Ty the Tasmanian Tiger,MULTI,2002,Electronic Arts,1.17,1.6199999999999999
Wario Land: Shake It!,Wii,2008,Nintendo,1.17,1.17
Mega Man 3,NES,1990,Capcom,1.17,1.17
Ratchet & Clank (2016),PS4,2016,Sony Computer Entertainment,1.17,1.17
Mission: Impossible,MULTI,1997,Ocean,1.17,1.69
Romancing SaGa 2,SNES,1993,SquareSoft,1.17,1.17
Cabela's Dangerous Hunts,MULTI,2003,Zoo Digital Publishing,1.17,1.52
Cool Boarders 4,PS,1998,989 Studios,1.17,1.17
Rage Racer,PS,1996,Sony Computer Entertainment,1.17,1.17
Destruction Derby 2,PS,1996,Psygnosis,1.17,1.17
Mirror's Edge,MULTI,2008,Electronic Arts,1.17,2.3099999999999996
EA Sports Active: More Workouts,Wii,2009,Electronic Arts,1.16,1.16
Midnight Club 3: DUB Edition Remix,MULTI,2006,Take-Two Interactive,1.16,1.3599999999999999
Tom Clancy's Ghost Recon: Jungle Storm,PS2,2004,Ubisoft,1.16,1.16
Bushido Blade,PS,1997,Sony Computer Entertainment,1.16,1.16
NASCAR Thunder 2002,MULTI,2001,Electronic Arts,1.16,1.91
Jet Force Gemini,N64,1999,Nintendo,1.16,1.16
Mega Man X,SNES,1993,Capcom,1.16,1.16
Sega Rally Championship,SAT,1995,Sega,1.16,1.16
Test Drive: Off Road,PS,1997,Eidos Interactive,1.16,1.16
Sniper: Ghost Warrior,MULTI,2010,City Interactive,1.16,1.96
Rocksmith,MULTI,2011,Ubisoft,1.16,2.2800000000000002
Plants vs. Zombies: Garden Warfare,MULTI,2014,Electronic Arts,1.16,3.21
Omerta: City of Gangsters,MULTI,2011,Konami Digital Entertainment,1.15,1.8599999999999999
Gauntlet: Dark Legacy,MULTI,2001,Midway Games,1.15,1.5
Ninja Gaiden Sigma,PS3,2007,Eidos Interactive,1.15,1.15
Bad Boys: Miami Takedown,MULTI,2004,Empire Interactive,1.15,1.38
Kaboom!,2600,1980,Activision,1.15,1.15
Red Dead Redemption: Undead Nightmare,MULTI,2010,Take-Two Interactive,1.15,2.2199999999999998
Sonic and the Black Knight,Wii,2009,Sega,1.15,1.15
Derby Stallion III,SNES,1995,ASCII Entertainment,1.15,1.15
Doraemon,NES,1986,Hudson Soft,1.15,1.15
Ratchet & Clank: All 4 One,PS3,2011,Sony Computer Entertainment,1.15,1.15
Donkey Konga,GC,2003,Nintendo,1.15,1.15
Fight Night Champion,MULTI,2011,Electronic Arts,1.15,1.95
Dragon Quest I & II,SNES,1993,Enix Corporation,1.15,1.15
Tak and the Power of Juju,MULTI,2003,THQ,1.15,1.5499999999999998
Puyo Puyo Sun Ketteiban,PS,1997,Compile,1.15,1.15
Action Bass,PS,2000,Take-Two Interactive,1.14,1.14
Tenchu: Wrath of Heaven,PS2,2003,Activision,1.14,1.14
Shadow of the Colossus,MULTI,2005,Sony Computer Entertainment,1.14,1.18
Brave Fencer Musashi,PS,1998,SquareSoft,1.14,1.14
Hot Shots Golf: Out of Bounds,PS3,2007,Sony Computer Entertainment,1.14,1.14
Dance Dance Revolution Extreme 2,PS2,2005,Konami Digital Entertainment,1.14,1.14
Rabbids Go Home,Wii,2009,Ubisoft,1.14,1.14
South Park,MULTI,1998,Acclaim Entertainment,1.14,1.8499999999999999
Commando,MULTI,1986,Capcom,1.14,1.6099999999999999
Pilotwings,SNES,1990,Nintendo,1.14,1.14
Resident Evil - Code: Veronica,DC,2000,Eidos Interactive,1.14,1.14
Royal Palace of White Sword and The City of Gentiles,MULTI,2005,Take-Two Interactive,1.14,1.23
Mobile Suit Gundam: Federation vs. Zeon,PS2,2001,Atari,1.14,1.14
MechAssault,XB,2002,Microsoft Game Studios,1.13,1.13
ModNation Racers,PS3,2010,Sony Computer Entertainment,1.13,1.13
Derby Stallion 99,PS,1999,ASCII Entertainment,1.13,1.13
Tom Clancy's Rainbow Six 3: Black Arrow,XB,2004,Ubisoft,1.13,1.13
WWE 2K15,MULTI,2014,Take-Two Interactive,1.13,3.23
Jampack Winter '98,PS,1998,Sony Computer Entertainment,1.13,1.13
Alien: Isolation,MULTI,2014,Sega,1.13,2.3
Yakuza 3,PS3,2009,Sega,1.13,1.13
Dragon Age II,MULTI,2011,Electronic Arts,1.12,1.96
Moon Patrol,2600,1982,Atari,1.12,1.12
Supercar Street Challenge,PS2,2001,Activision,1.12,1.12
Pilotwings 64,N64,1996,Nintendo,1.12,1.12
Crackdown 2,X360,2010,Microsoft Game Studios,1.12,1.12
Final Fantasy XIV: A Realm Reborn,MULTI,2013,Square Enix,1.12,1.84
Castlevania: Lords of Shadow,MULTI,2010,Konami Digital Entertainment,1.12,1.79
Disney Infinity 2.0: Marvel Super Heroes,MULTI,2014,Disney Interactive Studios,1.12,3.81
Yoshi's Cookie,NES,1992,Nintendo,1.12,1.12
Counter-Strike,XB,2003,Microsoft Game Studios,1.11,1.11
Mad Max (2015),MULTI,2015,Warner Bros. Interactive Entertainment,1.11,1.57
"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",MULTI,2007,Activision,1.11,2.71
GRID,MULTI,2008,Codemasters,1.11,1.9900000000000002
Guitar Hero Encore: Rocks The 80s,PS2,2007,RedOctane,1.11,1.11
Sunset Overdrive,XOne,2014,Microsoft Game Studios,1.11,1.11
Tom Clancy's Splinter Cell: Chaos Theory,MULTI,2005,Ubisoft,1.11,2.16
Donkey Kong Jr.,NES,1983,Nintendo,1.11,1.11
Arc the Lad,PS,1995,Sony Computer Entertainment,1.11,1.11
NBA Jam Tournament Edition,MULTI,1994,Acclaim Entertainment,1.11,2.37
Pikmin 3,WiiU,2013,Nintendo,1.11,1.11
Legend of Mana,PS,1999,SquareSoft,1.11,1.11
Megamania,2600,1981,Activision,1.1,1.1
Jungle Hunt,2600,1982,Atari,1.1,1.1
Triple Play 98,PS,1997,Electronic Arts,1.1,1.1
WWE SmackDown vs. Raw 2011,MULTI,2010,THQ,1.1,2.83
Lode Runner,NES,1984,Hudson Soft,1.1,1.1
Famicom Jump: Eiyuu Retsuden,NES,1989,Namco Bandai Games,1.1,1.1
F-Zero X,N64,1998,Nintendo,1.1,1.1
Popeye,MULTI,1983,Nintendo,1.1,1.6400000000000001
NERF N-Strike,Wii,2008,Electronic Arts,1.1,1.1
SingStar Legends,PS2,2006,Sony Computer Entertainment,1.1,1.1
SingStar Rocks!,PS2,2006,Sony Computer Entertainment,1.1,1.1
Tales of Symphonia,MULTI,2003,Nintendo,1.1,1.6400000000000001
Star Ocean: The Second Story,PS,1998,Sony Computer Entertainment,1.1,1.1
Lightning Returns: Final Fantasy XIII,MULTI,2013,Square Enix,1.1,1.3900000000000001
Yakuza 2,PS2,2006,Sega,1.09,1.09
Skate 2,MULTI,2009,Electronic Arts,1.09,1.94
Virtua Fighter 5,PS3,2007,Sega,1.09,1.09
NFL 2K1,DC,2000,Sega,1.09,1.09
BeatMania,MULTI,1998,Konami Digital Entertainment,1.09,1.1600000000000001
The Godfather,PS2,2006,Electronic Arts,1.09,1.09
Tiger Woods PGA Tour 10,MULTI,2009,Electronic Arts,1.09,2.79
Star Wars: Bounty Hunter,MULTI,2002,LucasArts,1.09,1.35
Densha De Go!,PS,1997,Taito,1.09,1.09
Dante's Inferno,MULTI,2010,Electronic Arts,1.09,2.0100000000000002
Endless Ocean,Wii,2007,Nintendo,1.09,1.09
NFL Blitz 2000,MULTI,1998,Midway Games,1.09,1.67
Sonic Free Riders,X360,2010,Sega,1.09,1.09
NASCAR Thunder 2004,MULTI,2003,Electronic Arts,1.08,1.31
Prince of Persia,MULTI,2008,Ubisoft,1.08,2.09
SpongeBob SquarePants: Revenge of the Flying Dutchman,MULTI,2002,THQ,1.08,1.28
The Biggest Loser,Wii,2009,THQ,1.08,1.08
Fisherman's Bass Club,PS2,2002,Agetec,1.08,1.08
Resident Evil: The Darkside Chronicles,Wii,2009,Capcom,1.08,1.08
NCAA Football 13,MULTI,2012,Electronic Arts,1.08,1.9500000000000002
Joust,2600,1982,Atari,1.08,1.08
DiRT 3,MULTI,2011,Codemasters,1.08,1.81
LEGO City Undercover,WiiU,2013,Nintendo,1.08,1.08
Ready 2 Rumble Boxing,MULTI,1998,Midway Games,1.08,1.67
Star Fox: Assault,GC,2005,Nintendo,1.08,1.08
Naruto: Ultimate Ninja Storm,PS3,2008,Namco Bandai Games,1.08,1.08
NCAA Football 14,MULTI,2013,Electronic Arts,1.07,1.87
Doko Demo Issyo,PS,1999,Sony Computer Entertainment,1.07,1.07
Bully: Scholarship Edition,MULTI,2008,Take-Two Interactive,1.07,1.59
Virtua Fighter,SAT,1994,Sega,1.07,1.07
NHL 99,MULTI,1997,Electronic Arts,1.07,1.46
SoulCalibur III,PS2,2005,Namco Bandai Games,1.07,1.07
F1 2012,MULTI,2012,Codemasters,1.07,1.57
Disney Universe,MULTI,2011,Disney Interactive Studios,1.07,2.27
Ridge Racer Revolution,PS,1995,Sony Computer Entertainment,1.07,1.07
Hot Wheels Turbo Racing,MULTI,1999,Electronic Arts,1.07,1.3800000000000001
NCAA Football 99,PS,1998,Electronic Arts,1.06,1.06
Mortal Kombat: Armageddon,MULTI,2006,Midway Games,1.06,1.31
Aliens vs Predator,MULTI,2010,Sega,1.06,2.1100000000000003
Freekstyle,MULTI,2002,Electronic Arts,1.06,1.1500000000000001
Darksiders,MULTI,2010,THQ,1.06,1.08
DiRT,MULTI,2007,Codemasters,1.06,1.9300000000000002
Simple 1500 Series Vol. 1: The Mahjong,PS,1998,D3Publisher,1.06,1.06
NBA Street V3,MULTI,2005,Electronic Arts,1.06,1.67
Sleeping Dogs,MULTI,2012,Square Enix,1.06,2.5700000000000003
Mercenaries 2: World in Flames,MULTI,2008,Electronic Arts,1.06,2.31
Worms Armageddon,MULTI,1999,Microprose,1.06,1.1
Hulk,MULTI,2003,Universal Interactive,1.06,1.58
NFL Quarterback Club 98,N64,1997,Acclaim Entertainment,1.06,1.06
DJ Hero,MULTI,2009,Activision,1.06,3.06
Naruto Shippuden: Ultimate Ninja Storm 4,MULTI,2016,Namco Bandai Games,1.06,1.34
Virtua Tennis 3,MULTI,2007,Sega,1.06,1.11
Seek and Destroy,PS2,2002,Play It,1.06,1.06
Warhawk,MULTI,2007,Sony Computer Entertainment,1.06,1.52
Cosmic Ark,2600,1981,Imagic,1.05,1.05
Skylanders: Trap Team,MULTI,2014,Activision,1.05,4.14
Defender,MULTI,1980,Atari,1.05,1.6500000000000001
Dance on Broadway,MULTI,2010,Ubisoft,1.05,1.1400000000000001
Adventure Island,NES,1986,Hudson Soft,1.05,1.05
Arc the Lad II,PS,1996,Sony Computer Entertainment,1.05,1.05
Tag Team Match M.U.S.C.L.E.,NES,1985,Namco Bandai Games,1.05,1.05
Derby Stallion 96,SNES,1996,ASCII Entertainment,1.05,1.05
UFC Undisputed 3,MULTI,2012,THQ,1.05,2.05
NBA 2K3,MULTI,2002,Sega,1.05,1.53
Dragon Ball: XenoVerse,MULTI,2015,Namco Bandai Games,1.05,2.18
Dave Mirra Freestyle BMX,PS,2000,Acclaim Entertainment,1.05,1.05
Forza Motorsport,XB,2005,Microsoft Game Studios,1.05,1.05
MySims Agents,Wii,2009,Electronic Arts,1.05,1.05
Monster Rancher 2,PS,1998,Sony Computer Entertainment,1.05,1.05
Guinness World Records: The Videogame,Wii,2008,Warner Bros. Interactive Entertainment,1.04,1.04
MVP Baseball 2003,MULTI,2003,Electronic Arts,1.04,1.24
Legacy of Kain: Soul Reaver,PS,0,Eidos Interactive,1.04,1.04
Tales of Destiny,MULTI,1997,Namco Bandai Games,1.04,1.56
ATV: Quad Power Racing,PS,2000,Acclaim Entertainment,1.04,1.04
Mega Man X4,MULTI,1996,Virgin Interactive,1.04,1.11
Naruto: Clash of Ninja 2,GC,2003,Nintendo,1.04,1.04
Dance Dance Revolution SuperNOVA,PS2,2006,Konami Digital Entertainment,1.04,1.04
Brink,MULTI,2011,Bethesda Softworks,1.04,1.78
Bomberman 64,N64,1997,Hudson Soft,1.04,1.04
Jeremy McGrath Supercross 98,PS,1998,Acclaim Entertainment,1.04,1.04
Project CARS,MULTI,2015,Slightly Mad Studios,1.04,1.27
Tom Clancy's Ghost Recon Advanced Warfighter 2,MULTI,2007,Ubisoft,1.04,2.06
EA Sports UFC,MULTI,2014,Electronic Arts,1.04,1.5
MX vs. ATV Unleashed,MULTI,2005,THQ,1.03,1.4300000000000002
Tiger Woods PGA Tour 08,MULTI,2007,Electronic Arts,1.03,2.7
Rayman Origins,MULTI,2011,Ubisoft,1.03,2.4
Epic Mickey 2: The Power of Two,MULTI,2012,Disney Interactive Studios,1.03,2.31
NCAA March Madness 2004,MULTI,2003,Electronic Arts,1.03,1.27
Bomberman,MULTI,1985,Hudson Soft,1.03,1.04
Street Fighter Alpha 3,PS,1998,Virgin Interactive,1.03,1.03
Bulletstorm,MULTI,2011,Electronic Arts,1.02,1.55
Naruto: Clash of Ninja Revolution,Wii,2007,Tomy Corporation,1.02,1.02
ZombiU,MULTI,2012,Ubisoft,1.02,1.07
Tales of Graces f,PS3,2010,Namco Bandai Games,1.02,1.02
Final Fight 2,SNES,1993,Capcom,1.02,1.02
Wall-E,MULTI,2008,THQ,1.02,2.79
The Lost World: Jurassic Park,PS,1997,Electronic Arts,1.02,1.02
Ace Combat 6: Fires of Liberation,X360,2007,Atari,1.02,1.02
Harry Potter and the Prisoner of Azkaban,MULTI,2004,Electronic Arts,1.02,1.59
Pong: The Next Level,PS,1998,Hasbro Interactive,1.01,1.01
Bayonetta 2,WiiU,2014,Nintendo,1.01,1.01
Ninja Gaiden II,X360,2008,Tecmo Koei,1.01,1.01
Guitar Hero: Warriors of Rock,MULTI,2010,Activision,1.01,2.7
Monster Rancher,PS,1997,Tecmo Koei,1.01,1.01
