Name,Platform,Year,Publisher,Global_Sales,Total_Sales
Gears of War 3,X360,2011,Microsoft Game Studios,6.24,6.24
Gears of War,X360,2006,Microsoft Game Studios,6.11,6.11
Metal Gear Solid 2: Sons of Liberty,PS2,2001,Konami Digital Entertainment,6.05,6.05
Sonic the Hedgehog 2,GEN,1992,Sega,6.03,6.03
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Konami Digital Entertainment,6.03,6.03
Metal Gear Solid,PS,1998,Konami Digital Entertainment,6.03,6.03
The Last of Us,MULTI,2013,Sony Computer Entertainment Europe,5.99,10.54
Final Fantasy XII,PS2,2006,Square Enix,5.95,5.95
LittleBigPlanet,PS3,2008,Sony Computer Entertainment,5.92,5.92
LEGO Star Wars: The Complete Saga,MULTI,2007,LucasArts,5.83,10.85
Resident Evil 2,MULTI,1998,Virgin Interactive,5.82,6.44
Tekken 2,PS,1996,Sony Computer Entertainment,5.74,5.74
Destiny,MULTI,2014,Activision,5.65,12.61
Tetris,NES,1988,Nintendo,5.58,5.58
Assassin's Creed II,MULTI,2009,Ubisoft,5.57,10.84
Super Smash Bros.,N64,1999,Nintendo,5.55,5.55
Assassin's Creed,MULTI,2007,Ubisoft,5.55,10.379999999999999
Batman: Arkham City,MULTI,2011,Warner Bros. Interactive Entertainment,5.53,10.67
Forza Motorsport 3,X360,2009,Microsoft Game Studios,5.51,5.51
Pokemon Stadium,N64,1999,Nintendo,5.45,5.45
Crash Bandicoot: The Wrath of Cortex,MULTI,2001,Universal Interactive,5.42,7.24
Final Fantasy XIII,MULTI,2009,Square Enix,5.36,7.53
Final Fantasy IX,PS,2000,SquareSoft,5.3,5.3
Final Fantasy X-2,PS2,2003,Electronic Arts,5.29,5.29
Donkey Kong 64,N64,1999,Nintendo,5.27,5.27
Tomb Raider II,PS,1997,Eidos Interactive,5.24,5.24
Madden NFL 2004,MULTI,0,Electronic Arts,5.23,6.83
Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Square Enix,5.21,5.21
New Super Mario Bros. U,WiiU,2012,Nintendo,5.19,5.19
Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Nintendo,5.15,5.15
Medal of Honor: Rising Sun,MULTI,2003,Electronic Arts,5.13,6.72
Fable III,X360,2010,Microsoft Game Studios,5.13,5.13
Guitar Hero II,MULTI,2006,RedOctane,5.12,7.32
Resident Evil 5,MULTI,2009,Capcom,5.11,8.620000000000001
FIFA Soccer 11,MULTI,2010,Electronic Arts,5.08,10.45
Resident Evil,MULTI,1996,Virgin Interactive,5.05,5.34
Tony Hawk's Pro Skater,MULTI,1999,Activision,5.02,7.129999999999999
Super Smash Bros. for Wii U and 3DS,WiiU,2014,Nintendo,5.02,5.02
Warzone 2100,PS,1999,Eidos Interactive,5.01,5.01
Spyro the Dragon,PS,1998,Sony Computer Entertainment,5.0,5.0
Link's Crossbow Training,Wii,2007,Nintendo,5.0,5.0
Guitar Hero III: Legends of Rock,MULTI,2007,Activision,4.98,16.39
Fallout 3,MULTI,2008,Bethesda Softworks,4.96,8.969999999999999
Uncharted: Drake's Fortune,PS3,2007,Sony Computer Entertainment,4.94,4.94
Madden NFL 06,MULTI,2005,Electronic Arts,4.91,7.93
Diddy Kong Racing,N64,1997,Nintendo,4.88,4.88
Dr. Mario,NES,1990,Nintendo,4.85,4.85
God of War III,MULTI,2010,Sony Computer Entertainment,4.84,5.47
Crash Team Racing,PS,1999,Sony Computer Entertainment,4.79,4.79
FIFA 17,MULTI,2016,Electronic Arts,4.77,6.859999999999999
Driver 2,PS,2000,Atari,4.73,4.73
The Simpsons: Hit & Run,MULTI,2003,Vivendi Games,4.7,7.04
Tony Hawk's Pro Skater 2,MULTI,2000,Activision,4.68,5.4399999999999995
Animal Crossing: City Folk,Wii,2008,Nintendo,4.68,4.68
The Lord of the Rings: The Two Towers,MULTI,2002,Electronic Arts,4.67,5.91
Forza Motorsport 4,X360,2011,Microsoft Game Studios,4.64,4.64
Tomb Raider,PS,1996,Eidos Interactive,4.63,4.63
The Legend of Zelda: A Link to the Past,SNES,1991,Nintendo,4.61,4.61
The Legend of Zelda: The Wind Waker,MULTI,2002,Nintendo,4.6,6.369999999999999
Mario & Sonic at the Olympic Winter Games,Wii,2009,Sega,4.58,4.58
Splatoon,WiiU,2015,Nintendo,4.57,4.57
Madden NFL 2005,MULTI,2004,Electronic Arts,4.53,6.95
Pitfall!,2600,1981,Activision,4.5,4.5
Madden NFL 07,MULTI,2006,Electronic Arts,4.49,8.950000000000001
Spider-Man: The Movie,MULTI,2002,Activision,4.48,7.07
Dragon Quest VII: Warriors of Eden,PS,2000,Enix Corporation,4.47,4.47
