,Name,Platform,Year,Publisher,Global_Sales,Total_Sales
52,Gran Turismo,PS,1997,Sony Computer Entertainment,10.95,10.95
66,Final Fantasy VII,PS,1997,Sony Computer Entertainment,9.72,9.72
84,GoldenEye 007,N64,1997,Nintendo,8.09,8.09
95,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Sony Computer Entertainment,7.58,7.58
178,Tomb Raider II,PS,1997,Eidos Interactive,5.24,5.24
213,Diddy Kong Racing,N64,1997,Nintendo,4.88,4.88
278,Frogger,Multi,1997,Hasbro Interactive,4.16,6.36
296,Star Fox 64,N64,1997,Nintendo,4.03,4.03
359,Croc: Legend of the Gobbos,PS,1997,Fox Interactive,3.56,3.56
362,Tomb Raider III: Adventures of Lara Croft,PS,1997,Eidos Interactive,3.54,3.54
510,Yoshi's Story,N64,1997,Nintendo,2.85,2.85
527,Hot Shots Golf,PS,1997,Sony Computer Entertainment,2.79,2.79
630,Final Fantasy Tactics,PS,1997,SquareSoft,2.45,2.45
684,Grand Theft Auto,PS,1997,Take-Two Interactive,2.32,2.32
704,TOCA Touring Car Championship,PS,1997,Codemasters,2.28,2.28
715,Cool Boarders 2,PS,1997,UEP Systems,2.25,2.25
791,Derby Stallion,Multi,1997,ASCII Entertainment,2.09,2.1799999999999997
851,Tenchu: Stealth Assassins,PS,1997,Activision,1.99,1.99
882,Jet Moto 2,PS,1997,Sony Computer Entertainment,1.94,1.94
927,Turok 2: Seeds of Evil,N64,1997,Acclaim Entertainment,1.86,1.86
1064,WCW vs. nWo: World Tour,N64,1997,THQ,1.69,1.69
1074,NFL GameDay 98,PS,1997,Sony Computer Entertainment,1.68,1.68
1077,Time Crisis,PS,1997,Namco Bandai Games,1.68,1.68
1226,Tiger Woods 99 PGA Tour Golf,PS,1997,Electronic Arts,1.53,1.53
1230,Knockout Kings,PS,1997,Electronic Arts,1.52,1.52
1248,NBA Live 98,PS,1997,Electronic Arts,1.51,1.51
1437,Madden NFL 98,PS,1997,Electronic Arts,1.35,1.35
1451,SaGa Frontier,PS,1997,SquareSoft,1.35,1.35
1492,Fighting Force,PS,1997,Eidos Interactive,1.32,1.32
1520,Test Drive 5,PS,1997,Accolade,1.3,1.3
1551,Castlevania: Symphony of the Night,PS,1997,Konami Digital Entertainment,1.27,1.27
1604,Oddworld: Abe's Oddysee,PS,1997,GT Interactive,1.24,1.24
1635,Intelligent Qube,PS,1997,Sony Computer Entertainment,1.22,1.22
1642,NBA Live 99,Multi,1997,Electronic Arts,1.22,1.69
1643,Chocobo no Fushigi Dungeon,PS,1997,SquareSoft,1.22,1.22
1663,Test Drive 4,PS,1997,Electronic Arts,1.21,1.21
1686,Nuclear Strike,PS,1997,Electronic Arts,1.19,1.19
1728,Mission: Impossible,Multi,1997,Ocean,1.17,1.69
1747,Bushido Blade,PS,1997,Sony Computer Entertainment,1.16,1.16
1754,Test Drive: Off Road,PS,1997,Eidos Interactive,1.16,1.16
1780,Puyo Puyo Sun Ketteiban,PS,1997,Compile,1.15,1.15
1852,Triple Play 98,PS,1997,Electronic Arts,1.1,1.1
1886,Densha De Go!,PS,1997,Taito,1.09,1.09
1928,NHL 99,Multi,1997,Electronic Arts,1.07,1.46
1954,NFL Quarterback Club 98,N64,1997,Acclaim Entertainment,1.06,1.06
1993,Tales of Destiny,Multi,1997,Namco Bandai Games,1.04,1.56
2001,Bomberman 64,N64,1997,Hudson Soft,1.04,1.04
2035,The Lost World: Jurassic Park,PS,1997,Electronic Arts,1.02,1.02
2050,Monster Rancher,PS,1997,Tecmo Koei,1.01,1.01
2056,Breath of Fire III,PS,1997,Capcom,1.0,1.0
2249,NHL 98,PS,1997,Electronic Arts,0.92,0.92
2339,Ace Combat 2,PS,1997,Sony Computer Entertainment,0.89,0.89
2384,Need for Speed: V-Rally,PS,1997,Infogrames,0.87,0.87
2419,Madden Football 64,N64,1997,Electronic Arts,0.86,0.86
2441,Rampage World Tour,Multi,1997,GT Interactive,0.85,1.3
2492,Mega Man Legends,PS,1997,Capcom,0.83,0.83
2568,Moto Racer,PS,1997,Electronic Arts,0.8,0.8
2604,Momotarou Dentetsu 7,PS,1997,Hudson Entertainment,0.79,0.79
2641,Battle Stations,PS,1997,Electronic Arts,0.78,0.78
2742,San Francisco Rush: Extreme Racing,Multi,1997,GT Interactive,0.75,1.13
2746,Street Fighter EX Plus Alpha,PS,1997,Virgin Interactive,0.75,0.75
2794,FIFA: Road to World Cup 98,PS,1997,Electronic Arts,0.73,0.73
2885,Blast Corps,N64,1997,Nintendo,0.71,0.71
2892,Jeopardy!,Multi,1997,Hasbro Interactive,0.71,1.88
2916,NCAA Football 98,PS,1997,Electronic Arts,0.7,0.7
2948,Moto Racer 2,PS,1997,Electronic Arts,0.69,0.69
2975,Star Wars: Masters of Teras Kasi,PS,1997,LucasArts,0.68,0.68
2982,Mortal Kombat Mythologies: Sub-Zero,Multi,1997,GT Interactive,0.68,1.08
3185,Nightmare Creatures,Multi,1997,Sony Computer Entertainment,0.63,0.89
3226,Final Fantasy VII International,PS,1997,Square,0.63,0.63
3244,NBA ShootOut '97,PS,1997,Sony Computer Entertainment,0.62,0.62
3309,Duke Nukem: Total Meltdown,PS,1997,GT Interactive,0.61,0.61
3357,Puyo Puyo Sun,SAT,1997,Compile,0.6,0.6
3361,International Superstar Soccer 64,N64,1997,Konami Digital Entertainment,0.6,0.6
3389,Jikkyou Powerful Pro Yakyuu '97 Kaimakuban,PS,1997,Konami Digital Entertainment,0.59,0.59
3412,Extreme-G,N64,1997,Acclaim Entertainment,0.59,0.59
3444,Diablo,PS,1997,Electronic Arts,0.58,0.58
3465,FIFA: Road to  World Cup 98,N64,1997,Electronic Arts,0.58,0.58
3533,NBA Hangtime,Multi,1997,GT Interactive,0.57,0.6299999999999999
3667,Super Robot Taisen F,SAT,1997,Banpresto,0.55,0.55
3800,Front Mission 2,PS,1997,SquareSoft,0.53,0.53
3899,Virtual Pool,PS,1997,Interplay,0.51,0.51
3946,NHL FaceOff 98,PS,1997,Sony Computer Entertainment,0.51,0.51
3987,RPG Maker,PS,1997,ASCII Entertainment,0.5,0.5
4045,FIFA Soccer 64,N64,1997,Electronic Arts,0.49,0.49
4050,J-League Pro Soccer Club wo Tsukurou! 2,SAT,1997,Sega,0.49,0.49
4187,Automobili Lamborghini,N64,1997,Titus,0.47,0.47
4190,Doom 64,N64,1997,Midway Games,0.47,0.47
4438,Independence Day,PS,1997,Fox Interactive,0.44,0.44
4452,Duke Nukem 64,N64,1997,GT Interactive,0.44,0.44
4532,Mischief Makers,N64,1997,Nintendo,0.43,0.43
4561,NHL FaceOff 99,PS,1997,989 Studios,0.43,0.43
4567,Neon Genesis Evangelion 2nd Impression,SAT,1997,Sega,0.42,0.42
4592,Colony Wars,PS,1997,Psygnosis,0.42,0.42
4600,Grandia,Multi,1997,ESP,0.42,0.6699999999999999
4666,X-Men vs. Street Fighter,Multi,1997,Capcom,0.42,0.6799999999999999
4725,Command & Conquer: Red Alert,PS,1997,Virgin Interactive,0.41,0.41
4734,Armored Core,PS,1997,Sony Computer Entertainment,0.41,0.41
4810,Pet in TV,PS,1997,Sony Computer Entertainment,0.4,0.4
4827,Top Gear Rally,N64,1997,Kemco,0.4,0.4
4893,Bloody Roar,PS,1997,Virgin Interactive,0.39,0.39
5091,Tobal 2,PS,1997,SquareSoft,0.37,0.37
5189,MechWarrior 2: 31st Century Combat,PS,1997,Activision,0.36,0.36
5194,Mobile Suit Z-Gundam,PS,1997,Namco Bandai Games,0.36,0.36
5200,Kirby's Dream Land 3,SNES,1997,Nintendo,0.36,0.36
5201,Big Bass World Championship,PS,1997,Starfish,0.36,0.36
5205,Mystical Ninja starring Goemon,N64,1997,Konami Digital Entertainment,0.36,0.36
5206,Tetrisphere,N64,1997,Nintendo,0.36,0.36
5261,Formula 1 Championship Edition,PS,1997,Psygnosis,0.36,0.36
5377,Marvel Super Heroes,Multi,1997,Virgin Interactive,0.34,0.4
