Name,Platform,Year,Publisher,Global_Sales,Total_Sales
Call of Duty: Black Ops 3,MULTI,2015,Activision,14.24,25.09
FIFA 16,MULTI,2015,Electronic Arts,8.49,16.26
Star Wars Battlefront (2015),MULTI,2015,Electronic Arts,7.67,11.16
Fallout 4,MULTI,2015,Bethesda Softworks,6.96,11.05
Splatoon,WiiU,2015,Nintendo,4.57,4.57
Uncharted: The Nathan Drake Collection,PS4,2015,Sony Computer Entertainment,4.47,4.47
Halo 5: Guardians,XOne,2015,Microsoft Game Studios,4.26,4.26
NBA 2K16,MULTI,2015,Take-Two Interactive,3.85,7.9399999999999995
Batman: Arkham Knight,MULTI,2015,Warner Bros. Interactive Entertainment,3.79,5.24
The Witcher 3: Wild Hunt,MULTI,2015,Namco Bandai Games,3.73,4.97
Metal Gear Solid V: The Phantom Pain,MULTI,2015,Konami Digital Entertainment,3.38,5.0
Assassin's Creed Syndicate,MULTI,2015,Ubisoft,3.28,4.56
Madden NFL 16,MULTI,2015,Electronic Arts,3.22,7.42
Super Mario Maker,WiiU,2015,Nintendo,3.18,3.18
Gears of War: Ultimate Edition,XOne,2015,Microsoft Game Studios,3.0,3.0
Mortal Kombat X,MULTI,2015,Warner Bros. Interactive Entertainment,2.7,4.050000000000001
Need for Speed (2015),MULTI,2015,Electronic Arts,2.39,3.0700000000000003
Bloodborne,PS4,2015,Sony Computer Entertainment,2.38,2.38
Tom Clancy's Rainbow Six: Siege,MULTI,2015,Ubisoft,2.15,3.44
Battlefield: Hardline,MULTI,2015,Electronic Arts,2.09,4.12
Destiny: The Taken King,MULTI,2015,Activision,1.91,3.8699999999999997
Just Cause 3,MULTI,2015,Square Enix,1.83,2.71
Forza Motorsport 6,XOne,2015,Microsoft Game Studios,1.74,1.74
The Order: 1886,PS4,2015,Sony Computer Entertainment,1.72,1.72
The Elder Scrolls Online,MULTI,2015,Bethesda Softworks,1.72,2.99
Dying Light,MULTI,2015,Warner Bros. Interactive Entertainment,1.66,2.4699999999999998
Until Dawn,PS4,2015,Sony Computer Entertainment Europe,1.64,1.64
Mario Party 10,WiiU,2015,Nintendo,1.55,1.55
Rise of the Tomb Raider,MULTI,2015,Square Enix,1.3,1.7000000000000002
Yoshi's Woolly World,WiiU,2015,Nintendo,1.29,1.29
Just Dance 2016,MULTI,2015,Ubisoft,1.2,3.03
WWE 2K16,MULTI,2015,Take-Two Interactive,1.2,2.86
Mad Max (2015),MULTI,2015,Warner Bros. Interactive Entertainment,1.11,1.57
Dragon Ball: XenoVerse,MULTI,2015,Namco Bandai Games,1.05,2.18
Project CARS,MULTI,2015,Slightly Mad Studios,1.04,1.27
Final Fantasy Type-0,MULTI,2015,Square Enix,0.97,1.22
LEGO Jurassic World,MULTI,2015,Warner Bros. Interactive Entertainment,0.95,3.93
Evolve,MULTI,2015,Take-Two Interactive,0.95,1.5699999999999998
MLB 15: The Show,MULTI,2015,Sony Computer Entertainment,0.92,1.31
Minecraft: Story Mode,MULTI,2015,Mojang,0.91,2.81
Xenoblade Chronicles X,WiiU,2015,Nintendo,0.84,0.84
Borderlands: The Handsome Collection,MULTI,2015,Take-Two Interactive,0.84,1.25
Guitar Hero Live,MULTI,2015,Activision,0.81,2.02
Pro Evolution Soccer 2016,MULTI,2015,Konami Digital Entertainment,0.78,1.46
Rare Replay,XOne,2015,Microsoft Game Studios,0.75,0.75
Dragon Quest Heroes: The World's Tree Woe and the Blight Below,MULTI,2015,Square Enix,0.71,1.2
Final Fantasy X/X-2 HD Remaster,PS4,2015,Square Enix,0.71,0.71
Disney Infinity 3.0,MULTI,2015,Disney Interactive Studios,0.68,2.34
F1 2015,MULTI,2015,Codemasters,0.66,0.9
LEGO Dimensions,MULTI,2015,Warner Bros. Interactive Entertainment,0.64,2.62
NHL 16,MULTI,2015,Electronic Arts,0.61,1.14
Tales of Zestiria,MULTI,2015,Namco Bandai Games,0.59,0.97
Resident Evil: Revelations 2,MULTI,2015,Capcom,0.54,1.05
Kirby and the Rainbow Curse,WiiU,2015,Nintendo,0.53,0.53
Rory McIlroy PGA Tour,MULTI,2015,Electronic Arts,0.51,0.78
Skylanders: SuperChargers,MULTI,2015,Activision,0.48,2.12
Farming Simulator 2015,MULTI,2015,Koch Media,0.46,1.41
